# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	30955
#@/user_id	arch
a 	啊	c=27 d=0.000665523 t=30955
ge deng 	咯噔	c=1 d=1.55055e-13 t=30955
ge ming 	革命	c=1 d=0.937067 t=30955
ge ren 	個人	c=2 d=5.73661e-14 t=30955
ge shi 	格式	c=16 d=1.44157 t=30955
ge shi hua 	格式化	c=48 d=6.46771e-12 t=30955
ge shi shi 	格式是	c=1 d=1.82429e-14 t=30955
ge shu 	個數	c=1 d=2.98502e-13 t=30955
ge si qi zhi 	各司其職	c=1 d=5.4937e-13 t=30955
ge wei 	各位	c=1 d=5.99965e-20 t=30955
ge xiang 	各項	c=1 d=2.12791e-31 t=30955
ge xiao shi 	個小時	c=1 d=3.02282e-14 t=30955
ge yuan 	各院	c=1 d=1.26336e-15 t=30955
ge zhong 	各種	c=5 d=5.79164e-16 t=30955
gei 	給	c=13 d=6.85149e-13 t=30955
gei ding 	給定	c=1 d=1.2197e-13 t=30955
gei ni 	給你	c=3 d=0.008396 t=30955
gei wo 	給我	c=3 d=0.000186207 t=30955
gen 	根	c=2 d=0.00241755 t=30955
gen 	跟	c=5 d=5.95441e-13 t=30955
gen jie dian 	根節點	c=39 d=0.00123983 t=30955
gen jie duan 	跟階段	c=1 d=3.32351e-12 t=30955
gen ju 	根據	c=133 d=0.0634882 t=30955
gen lu jing 	根路徑	c=2 d=1.18938e-11 t=30955
gen ni 	跟你	c=2 d=5.27562e-07 t=30955
gen wo 	跟我	c=1 d=2.58835e-12 t=30955
geng 	更	c=2 d=2.50449e-12 t=30955
geng duo 	更多	c=1 d=4.60142e-16 t=30955
geng fang bian 	更方便	c=1 d=1.78695e-06 t=30955
geng gai 	更改	c=74 d=2.3533e-05 t=30955
geng gai xing bie 	更改性別	c=1 d=1.40008e-18 t=30955
geng huan 	更換	c=5 d=3.57361e-09 t=30955
geng jia 	更加	c=1 d=9.42728e-13 t=30955
geng jian dan 	更簡單	c=1 d=1.12865e-12 t=30955
geng kuai 	更快	c=1 d=1.12302e-12 t=30955
geng xin 	更新	c=246 d=0.658284 t=30955
geng xin biao 	更新表	c=2 d=3.74977e-12 t=30955
geng xin cheng gong 	更新成功	c=1 d=4.55484e-14 t=30955
geng xin hou 	更新後	c=1 d=3.00724e-12 t=30955
geng xin ru 	更新入	c=1 d=1.3871e-26 t=30955
geng xin yi hou 	更新以後	c=1 d=3.8827e-18 t=30955
geng xin yi xia 	更新一下	c=1 d=1.10649e-14 t=30955
geng you 	更有	c=1 d=1.25989e-12 t=30955
geng yuan 	更遠	c=1 d=5.19972e-13 t=30955
geng zai 	更在	c=1 d=1.08983e-12 t=30955
gong 	供	c=1 d=6.02769e-16 t=30955
gong 	公	c=0 d=0.000568457 t=30955
gong chang 	工廠	c=9 d=3.11846e-12 t=30955
gong chang mo shi 	工廠模式	c=1 d=6.14838e-14 t=30955
gong cheng 	工程	c=1 d=3.75171e-26 t=30955
gong cheng lve di 	攻城略地	c=1 d=1.84708e-13 t=30955
gong cheng shi 	工程師	c=5 d=2.81397e-13 t=30955
gong cun 	共存	c=1 d=3.24984e-13 t=30955
gong gao 	公告	c=1 d=1.1806e-12 t=30955
gong ji 	攻擊	c=2 d=3.02436e-11 t=30955
gong ji jin 	公積金	c=1 d=3.54671e-12 t=30955
gong ju 	工具	c=80 d=0.0317565 t=30955
gong ju lan 	工具欄	c=1 d=6.21018e-14 t=30955
gong ju lei 	工具類	c=3 d=3.14565e-12 t=30955
gong ju xiang 	工具箱	c=2 d=5.92259e-15 t=30955
gong kai ke 	公開課	c=2 d=0.000587285 t=30955
gong lve 	攻略	c=4 d=1.30792e-11 t=30955
gong neng 	功能	c=27 d=2.30347e-11 t=30955
gong neng dian 	功能點	c=9 d=6.56945e-12 t=30955
gong shang 	工商	c=1 d=3.35691e-12 t=30955
gong si 	公司	c=47 d=0.644075 t=30955
gong si hao 	公司號	c=1 d=7.67992e-13 t=30955
gong tong 	共通	c=22 d=5.32042e-11 t=30955
gong xi 	恭喜	c=4 d=2.54851e-06 t=30955
gong xi ni 	恭喜你	c=1 d=5.6894e-13 t=30955
gong xiang 	共享	c=2 d=0.000117979 t=30955
gong yao 	公鑰	c=4 d=0.00536159 t=30955
gong ye 	工業	c=1 d=1.5468e-14 t=30955
gong ying 	供應	c=8 d=1.28985e-12 t=30955
gong ying shang 	供應商	c=203 d=0.0831179 t=30955
gong you 	共有	c=3 d=0.347187 t=30955
gong zi 	工資	c=1 d=8.44529e-14 t=30955
gong zu fang 	公租房	c=1 d=0.00571306 t=30955
gong zuo 	工作	c=22 d=4.60861e-05 t=30955
gong zuo ri 	工作日	c=12 d=3.8192e-13 t=30955
gong zuo ri li 	工作日歷	c=2 d=3.12712e-12 t=30955
gong zuo ri li 	工作日裏	c=3 d=9.46764e-14 t=30955
gong zuo ri qi 	工作日期	c=1 d=2.13015e-14 t=30955
gou 	勾	c=3 d=5.64156e-13 t=30955
gou 	夠	c=2 d=1.93578e-07 t=30955
gou 	狗	c=4 d=1.48899e-07 t=30955
gou cheng 	構成	c=0 d=1.41709e-14 t=30955
gou cheng shu 	構成數	c=3 d=3.41551e-12 t=30955
gou jian 	構建	c=3 d=1.69109e-12 t=30955
gou mai 	購買	c=1 d=1.27048e-13 t=30955
gou mai ding dan jie tu 	購買訂單截圖	c=1 d=1.04981e-13 t=30955
gou ni yong 	夠你用	c=1 d=1.94548e-06 t=30955
gou tong 	溝通	c=5 d=1.20916e-12 t=30955
gou wu 	購物	c=1 d=1.03151e-12 t=30955
gou xuan 	勾選	c=6 d=0.0752014 t=30955
gou xuan hang 	勾選行	c=1 d=0.755784 t=30955
gou yong 	夠用	c=1 d=1.7928e-15 t=30955
gou zao 	構造	c=2 d=3.84941e-12 t=30955
gou zao han shu 	構造函數	c=1 d=2.29566e-12 t=30955
gou zhu 	構築	c=2 d=3.15655e-12 t=30955
gou zi 	鉤子	c=2 d=0.00404873 t=30955
gu 	股	c=0 d=4.16281e-15 t=30955
gu an xi 	股安息	c=1 d=4.18368e-14 t=30955
gu ding 	固定	c=0 d=6.74484e-16 t=30955
gu dong 	股東	c=1 d=1.21049e-12 t=30955
gu ge 	僱個	c=0 d=1.91287e-14 t=30955
gu ge 	谷歌	c=7 d=6.5727e-05 t=30955
gu ge ren 	僱個人	c=1 d=1.92246e-13 t=30955
gu ji 	估計	c=1 d=1.44125e-06 t=30955
gu jia 	估價	c=10 d=1.08224e-08 t=30955
gu jian 	固件	c=3 d=0.000164069 t=30955
gu ming si yi 	顧名思義	c=1 d=1.12593e-13 t=30955
gu shi 	故事	c=1 d=3.29044e-12 t=30955
gua zai 	掛載	c=2 d=2.59863e-06 t=30955
guai bao bao 	乖寶寶	c=1 d=3.75758e-15 t=30955
guan 	關	c=3 d=2.31874e-12 t=30955
guan bi 	關閉	c=34 d=0.00100756 t=30955
guan fang 	官方	c=4 d=4.93e-14 t=30955
guan fang wang zhan 	官方網站	c=1 d=1.50836e-12 t=30955
guan ji 	關機	c=3 d=2.49203e-07 t=30955
guan jian zi 	關鍵字	c=11 d=0.000299026 t=30955
guan li 	管理	c=86 d=0.000658124 t=30955
guan li fei 	管理費	c=4 d=7.56976e-14 t=30955
guan li qi 	管理器	c=3 d=2.04191e-16 t=30955
guan li yuan 	管理員	c=1 d=1.27077e-25 t=30955
guan lian 	關聯	c=19 d=5.99927e-12 t=30955
guan lian tiao jian 	關聯條件	c=1 d=4.65809e-13 t=30955
guan shui 	關稅	c=9 d=1.53139e-08 t=30955
guan shui lv 	關稅率	c=4 d=3.68953e-28 t=30955
guan wang 	官網	c=4 d=2.51186e-12 t=30955
guan xi 	關係	c=11 d=0.00229965 t=30955
guan xi 	關西	c=1 d=4.4236e-14 t=30955
guan yu 	關於	c=11 d=4.66842e-08 t=30955
guan zhi 	管制	c=1 d=0.00663763 t=30955
guang biao 	光標	c=1 d=5.74657e-13 t=30955
gui 	櫃	c=2 d=2.27754e-07 t=30955
gui 	鬼	c=2 d=2.30043e-07 t=30955
gui dao 	軌道	c=0 d=3.11435e-13 t=30955
gui dao pian li 	軌道偏離	c=1 d=3.12996e-12 t=30955
gui fan 	規範	c=5 d=0.00154923 t=30955
gui lai 	歸來	c=1 d=6.6777e-15 t=30955
gui lei 	歸類	c=1 d=1.06916e-22 t=30955
gui shu di 	歸屬地	c=2 d=3.06165e-27 t=30955
gui ze 	規則	c=7 d=8.23255e-07 t=30955
gun dong tiao 	滾動條	c=2 d=2.59186e-20 t=30955
guo 	國	c=1 d=3.6365e-12 t=30955
guo 	果	c=3 d=6.91438e-13 t=30955
guo 	過	c=15 d=0.0066709 t=30955
guo bu xia qu 	過不下去	c=1 d=8.83398e-13 t=30955
guo chang 	過長	c=1 d=6.71347e-19 t=30955
guo cheng 	過程	c=15 d=9.8397e-08 t=30955
guo dao 	國道	c=1 d=3.44189e-12 t=30955
guo duan 	過段	c=1 d=1.78568e-27 t=30955
guo ji 	國際	c=2 d=2.18786e-05 t=30955
guo ji hua 	國際化	c=63 d=2.13443 t=30955
guo jia 	國家	c=11 d=1.24779e-11 t=30955
guo lai 	過來	c=3 d=1.44223e-14 t=30955
guo le 	過了	c=2 d=1.55831e-13 t=30955
guo lv qi 	過濾器	c=3 d=2.57668e-12 t=30955
guo qu 	過去	c=4 d=0.000131698 t=30955
guo wan piao pen 	鍋碗瓢盆	c=1 d=3.54913e-20 t=30955
guo wen gui 	郭文貴	c=1 d=3.0585e-05 t=30955
ha 	哈	c=3 d=0.000122182 t=30955
ha ha 	哈哈	c=6 d=1.74372e-12 t=30955
ha xi 	哈嘻	c=1 d=5.80534e-15 t=30955
ha xi 	哈希	c=1 d=5.86369e-15 t=30955
ha xi biao 	哈希表	c=8 d=1.20424e-10 t=30955
hai 	還	c=11 d=0.000689358 t=30955
hai bu 	還不	c=0 d=2.7281e-14 t=30955
hai bu zhi yu 	還不至於	c=1 d=2.74178e-13 t=30955
hai cha 	還差	c=1 d=1.79249e-13 t=30955
hai cong 	還從	c=1 d=3.22189e-29 t=30955
hai guan 	海關	c=5 d=7.08959e-11 t=30955
hai hao 	還好	c=1 d=3.83349e-15 t=30955
hai hao ba 	還好吧	c=1 d=0.00690852 t=30955
hai hen 	還很	c=0 d=2.68794e-16 t=30955
hai hen cai 	還很菜	c=1 d=2.70142e-15 t=30955
hai hui bu hui 	還會不會	c=1 d=9.86958e-23 t=30955
hai mai le 	還買了	c=1 d=3.19319e-12 t=30955
hai mei 	還沒	c=1 d=3.6365e-12 t=30955
hai mei da dian hua 	還沒打電話	c=1 d=3.98167e-20 t=30955
hai mei you 	還沒有	c=3 d=6.57559e-13 t=30955
hai neng 	還能	c=2 d=7.10672e-10 t=30955
hai shi 	還是	c=23 d=9.39265e-07 t=30955
hai shi bu xing 	還是不行	c=1 d=3.19982e-07 t=30955
hai shuo 	還說	c=1 d=1.13666e-07 t=30955
hai wai 	海外	c=1 d=1.57291e-05 t=30955
hai you 	還有	c=10 d=8.23518e-09 t=30955
hai you ge 	還有個	c=1 d=5.84852e-14 t=30955
hai zei wang 	海賊王	c=3 d=1.09696e-13 t=30955
hai zhen shi 	還真是	c=1 d=4.09095e-15 t=30955
hai zi 	孩子	c=1 d=2.23358e-13 t=30955
han 	函	c=1 d=4.22213e-05 t=30955
han 	含	c=1 d=2.68794e-15 t=30955
han 	涵	c=1 d=1.38544e-12 t=30955
han bao 	漢堡	c=1 d=1.07379e-14 t=30955
han shu 	函數	c=48 d=0.460828 t=30955
han shu shi 	函數式	c=3 d=9.39982e-08 t=30955
han shui 	含稅	c=4 d=1.37853e-12 t=30955
han you 	含有	c=3 d=0.711563 t=30955
han zi 	漢字	c=1 d=1.06825e-12 t=30955
hang 	行	c=126 d=0.103702 t=30955
hang bian ji 	行編輯	c=16 d=7.28276e-06 t=30955
hang dian ji 	行點擊	c=9 d=4.60939e-07 t=30955
hang hao 	行號	c=8 d=2.35386e-12 t=30955
hang nei 	行內	c=1 d=2.12133e-24 t=30955
hang shan chu 	行刪除	c=2 d=9.67027e-21 t=30955
hang shu 	行數	c=2 d=8.30908e-13 t=30955
hang tian jia 	行添加	c=3 d=2.54367e-13 t=30955
hang xiang su 	行像素	c=1 d=0.215456 t=30955
hang xin xi 	行信息	c=1 d=3.17997e-22 t=30955
hang ye 	行業	c=2 d=1.29408e-12 t=30955
hang zeng jia 	行增加	c=1 d=1.42764e-12 t=30955
hang zhou 	杭州	c=7 d=1.30506e-14 t=30955
hao 	好	c=53 d=0.312069 t=30955
hao 	號	c=40 d=0.00176966 t=30955
hao ba 	好吧	c=6 d=0.000687406 t=30955
hao chu fa 	好觸發	c=1 d=2.33917e-27 t=30955
hao da 	好大	c=1 d=3.14619e-14 t=30955
hao de 	好的	c=12 d=3.26391e-05 t=30955
hao di 	好滴	c=1 d=3.29896e-13 t=30955
hao jia 	好價	c=1 d=3.45915e-12 t=30955
hao jian 	好劍	c=1 d=9.31096e-14 t=30955
hao jiu 	好久	c=1 d=7.34322e-15 t=30955
hao le 	好了	c=5 d=3.95004e-13 t=30955
hao ma 	號碼	c=10 d=2.72125e-12 t=30955
hao mang 	好忙	c=1 d=8.4249e-14 t=30955
hao miao 	毫秒	c=2 d=4.03563e-10 t=30955
hao ping 	好評	c=1 d=2.76265e-14 t=30955
hao shi 	耗時	c=1 d=2.20033e-13 t=30955
hao xiang 	好像	c=3 d=4.87997e-13 t=30955
hao zhao 	好找	c=1 d=9.40614e-16 t=30955
hao zou 	好走	c=1 d=2.45025e-14 t=30955
he 	何	c=2 d=3.87136e-13 t=30955
he 	和	c=141 d=0.353864 t=30955
he 	盒	c=6 d=2.13117e-12 t=30955
he bing 	合併	c=96 d=0.457748 t=30955
he chu 	何處	c=2 d=7.74268e-12 t=30955
he dui 	覈對	c=0 d=0.000207043 t=30955
he dui ju zhen 	覈對矩陣	c=1 d=0.00208081 t=30955
he fa 	合法	c=1 d=3.47648e-12 t=30955
he fa xing 	合法性	c=2 d=1.18836e-12 t=30955
he gui 	合規	c=4 d=0.00470291 t=30955
he he 	呵呵	c=1 d=2.65939e-07 t=30955
he ji 	合計	c=11 d=2.58004e-09 t=30955
he tong 	合同	c=6 d=2.04647e-12 t=30955
he tong hao 	合同號	c=1 d=1.39239e-12 t=30955
he zuo 	合作	c=1 d=9.96198e-15 t=30955
hei 	嘿	c=1 d=1.53512e-13 t=30955
hei 	黑	c=0 d=2.43762e-13 t=30955
hei bai 	黑白	c=1 d=4.72527e-05 t=30955
hei hei 	嘿嘿	c=0 d=1.51984e-14 t=30955
hei hei hei 	黑嘿嘿	c=1 d=1.52746e-13 t=30955
hei mei 	黑莓	c=1 d=5.74657e-13 t=30955
hei se 	黑色	c=3 d=2.71866e-14 t=30955
hei ti 	黑體	c=1 d=8.54013e-28 t=30955
hen 	很	c=2 d=3.36913e-12 t=30955
hen bang 	很棒	c=1 d=2.19353e-06 t=30955
hen bu 	很不	c=0 d=7.73574e-11 t=30955
hen bu cuo 	很不錯	c=1 d=6.36741e-14 t=30955
hen bu xi huan 	很不喜歡	c=1 d=7.77451e-10 t=30955
hen duo 	很多	c=0 d=0.000606634 t=30955
hen hao 	很好	c=2 d=5.63285e-13 t=30955
hen jin 	很近	c=1 d=3.40764e-12 t=30955
hen xiang 	很想	c=1 d=5.19972e-13 t=30955
hen xiao 	很小	c=1 d=9.47613e-15 t=30955
hen you 	很有	c=1 d=5.89207e-13 t=30955
heng 	橫	c=1 d=2.33035e-12 t=30955
heng kong 	橫空	c=1 d=2.08258e-13 t=30955
hong 	宏	c=4 d=1.61947e-26 t=30955
hong 	紅	c=1 d=4.01895e-12 t=30955
hong bao 	紅包	c=3 d=1.67771e-13 t=30955
hong chong 	紅衝	c=1 d=0.481909 t=30955
hong dian 	紅點	c=1 d=1.29826e-12 t=30955
hong huang lan 	紅黃藍	c=1 d=0.486752 t=30955
hong mei su 	紅黴素	c=1 d=1.61772e-12 t=30955
hong qiao 	虹橋	c=2 d=3.39065e-12 t=30955
hong qiao zhen 	虹橋鎮	c=1 d=4.89775e-15 t=30955
hong xing er ke 	鴻興爾克	c=1 d=2.87491e-12 t=30955
hou 	吼	c=4 d=7.9567e-13 t=30955
hou 	後	c=75 d=0.215004 t=30955
hou duan 	後端	c=2 d=2.34204e-12 t=30955
hou hou 	吼吼	c=1 d=3.98926e-13 t=30955
hou lian pi 	厚臉皮	c=1 d=1.42052e-12 t=30955
hou liang wei 	後兩位	c=1 d=2.59593e-17 t=30955
hou long 	喉嚨	c=1 d=2.3717e-13 t=30955
hou men 	後門	c=1 d=1.55726e-05 t=30955
hou mian 	後面	c=4 d=3.30022e-08 t=30955
hou po 	吼破	c=1 d=2.35987e-13 t=30955
hou tai 	後臺	c=10 d=1.7497e-08 t=30955
hou xu 	後續	c=1 d=2.88235e-13 t=30955
hou xuan 	候選	c=1 d=4.09477e-17 t=30955
hou xuan shu 	候選數	c=1 d=3.75823e-17 t=30955
hu 	戶	c=2 d=3.27403e-12 t=30955
hu 	胡	c=0 d=5.37196e-15 t=30955
hu dai su 	胡怠速	c=1 d=5.39886e-14 t=30955
hu die 	蝴蝶	c=1 d=7.35846e-10 t=30955
hu dong 	互動	c=1 d=5.42594e-14 t=30955
hu huan 	互換	c=1 d=8.15618e-15 t=30955
hu kou 	戶口	c=1 d=0.0085294 t=30955
hu lian wang 	互聯網	c=17 d=0.000111109 t=30955
hu lve 	忽略	c=18 d=0.0011571 t=30955
hu yan 	護眼	c=1 d=0.000262568 t=30955
hua 	化	c=13 d=0.835504 t=30955
hua 	畫	c=1 d=4.9342e-14 t=30955
hua 	華	c=1 d=0.548812 t=30955
hua 	話	c=11 d=0.000212056 t=30955
hua feng 	畫風	c=1 d=6.33563e-14 t=30955
hua jun 	華軍	c=1 d=1.40032e-20 t=30955
hua kai 	花開	c=0 d=5.18719e-15 t=30955
hua kuo hao 	花括號	c=1 d=1.50186e-20 t=30955
hua le 	花了	c=1 d=3.94966e-12 t=30955
hua mian 	畫面	c=133 d=1.66033e-11 t=30955
hua mian shang 	畫面上	c=1 d=3.89143e-15 t=30955
hua ren 	華人	c=1 d=5.27922e-15 t=30955
hua sheng ke 	花生殼	c=4 d=0.000324546 t=30955
hua shuo 	華碩	c=1 d=1.56506e-05 t=30955
hua shuo 	話說	c=1 d=3.35748e-14 t=30955
hua xian 	劃線	c=1 d=4.20394e-12 t=30955
huan 	換	c=6 d=3.61075e-09 t=30955
huan 	歡	c=1 d=3.89077e-13 t=30955
huan 	還	c=2 d=2.57704e-13 t=30955
huan cheng 	換成	c=2 d=4.87249e-13 t=30955
huan chong 	緩衝	c=1 d=1.87015e-12 t=30955
huan cun 	緩存	c=22 d=1.2104 t=30955
huan de 	換的	c=1 d=1.25207e-27 t=30955
huan gei 	還給	c=1 d=2.76933e-13 t=30955
huan hang 	換行	c=3 d=2.05653e-12 t=30955
huan jing 	環境	c=8 d=1.35241e-11 t=30955
huan kuan 	還款	c=0 d=1.24434e-14 t=30955
huan kuan ri 	還款日	c=1 d=1.25058e-13 t=30955
huan le 	換了	c=1 d=7.69976e-14 t=30955
huan ping 	換屏	c=1 d=1.65811e-08 t=30955
huan wan le 	還完了	c=1 d=1.44572e-13 t=30955
huan ying 	歡迎	c=2 d=1.17376e-13 t=30955
huan ying ni 	歡迎你	c=1 d=1.73084e-13 t=30955
huan yong 	換用	c=1 d=8.28932e-29 t=30955
huan yuan 	還原	c=1 d=3.71122e-16 t=30955
huang 	晃	c=1 d=6.38062e-09 t=30955
huang 	黃	c=1 d=2.89729e-15 t=30955
huang lao shi 	黃老師	c=4 d=1.59674e-14 t=30955
hui 	回	c=1 d=1.39239e-12 t=30955
hui 	惠	c=2 d=7.74209e-12 t=30955
hui 	會	c=41 d=0.000157485 t=30955
hui ba 	會把	c=1 d=4.3327e-14 t=30955
hui bei 	會被	c=1 d=2.10859e-12 t=30955
hui bu hui 	會不會	c=3 d=7.50711e-10 t=30955
hui che 	回車	c=3 d=1.44572e-13 t=30955
hui chu 	繪出	c=1 d=0.138761 t=30955
hui dao 	回到	c=1 d=5.98111e-13 t=30955
hui diao 	回調	c=16 d=2.02744e-12 t=30955
hui diao han shu 	回調函數	c=3 d=2.79698e-14 t=30955
hui dui 	會對	c=1 d=3.15379e-13 t=30955
hui fu 	回覆	c=16 d=3.32372e-05 t=30955
hui fu 	恢復	c=39 d=0.895834 t=30955
hui fu zhuang tai 	回覆狀態	c=1 d=2.60132e-12 t=30955
hui gao su 	會告訴	c=1 d=2.95381e-07 t=30955
hui gui 	回歸	c=1 d=2.75552e-13 t=30955
hui gun 	回滾	c=2 d=1.9569e-16 t=30955
hui kuai 	會快	c=1 d=2.00473e-06 t=30955
hui lai 	回來	c=1 d=1.22602e-15 t=30955
hui lai 	會來	c=1 d=6.24453e-20 t=30955
hui lao jia 	回老家	c=1 d=0.00869506 t=30955
hui lv 	匯率	c=60 d=5.26801e-10 t=30955
hui qu 	回去	c=3 d=1.82504e-13 t=30955
hui se 	灰色	c=2 d=3.09134e-13 t=30955
hui tong 	匯通	c=1 d=0.375364 t=30955
hui wei 	回味	c=1 d=4.87333e-15 t=30955
hui yi 	會議	c=1 d=4.22357e-08 t=30955
hui yong 	會用	c=1 d=1.87889e-08 t=30955
hui you 	會有	c=1 d=1.54281e-13 t=30955
hui yuan 	會員	c=1 d=8.9907e-14 t=30955
hui zai 	會在	c=2 d=3.91758e-16 t=30955
hui zong 	彙總	c=1 d=2.62926e-20 t=30955
hun luan 	混亂	c=3 d=3.46591e-12 t=30955
huo 	或	c=40 d=0.147419 t=30955
huo 	火	c=1 d=1.69218e-12 t=30955
huo 	貨	c=5 d=0.463013 t=30955
huo ban 	夥伴	c=12 d=0.35337 t=30955
huo bi 	貨幣	c=9 d=2.9188e-12 t=30955
huo de 	火的	c=2 d=3.45292e-12 t=30955
huo de 	獲得	c=2 d=1.18651e-12 t=30955
huo de li wu 	獲得禮物	c=1 d=1.68375e-12 t=30955
huo hu 	火狐	c=4 d=4.65492e-06 t=30955
huo hu liu lan 	火狐瀏覽	c=1 d=4.67826e-05 t=30955
huo hua 	火花	c=1 d=1.31787e-12 t=30955
huo ju 	火炬	c=1 d=6.22519e-13 t=30955
huo men 	或門	c=1 d=3.68255e-13 t=30955
huo miao 	火苗	c=1 d=5.86268e-13 t=30955
huo qu 	獲取	c=355 d=0.0241027 t=30955
huo qu dao 	獲取到	c=1 d=7.66398e-18 t=30955
huo rong 	火絨	c=2 d=2.08761e-12 t=30955
huo zhe 	或者	c=9 d=0.000170926 t=30955
ji 	及	c=75 d=0.00562101 t=30955
ji 	季	c=1 d=3.07593e-13 t=30955
ji 	幾	c=1 d=3.0532e-14 t=30955
ji 	急	c=1 d=1.24735e-12 t=30955
ji 	極	c=1 d=2.45025e-14 t=30955
ji 	機	c=4 d=0.00252883 t=30955
ji 	級	c=2 d=2.49975e-14 t=30955
ji 	計	c=1 d=6.35097e-13 t=30955
ji 	記	c=0 d=6.62725e-15 t=30955
ji 	集	c=0 d=2.27282e-13 t=30955
ji ben 	基本	c=23 d=0.00737576 t=30955
ji bie 	級別	c=2 d=0.00159632 t=30955
ji bu qing 	記不清	c=1 d=8.59507e-14 t=30955
ji chang 	機場	c=3 d=1.20016e-13 t=30955
ji cheng 	繼承	c=7 d=2.08774e-12 t=30955
ji chu 	基礎	c=9 d=0.000655848 t=30955
ji cun qi 	寄存器	c=1 d=1 t=30955
ji dao 	寄到	c=1 d=1.53695e-27 t=30955
ji dian 	幾點	c=1 d=4.50722e-08 t=30955
ji dian qi 	繼電器	c=4 d=1.23195e-12 t=30955
ji feng 	機鋒	c=1 d=2.06221e-15 t=30955
ji ge 	幾個	c=3 d=1.80147e-13 t=30955
ji ge yue 	幾個月	c=1 d=5.46353e-07 t=30955
ji guang 	極光	c=3 d=8.00249e-12 t=30955
ji guo lai 	寄過來	c=0 d=1.568e-28 t=30955
ji hang 	幾行	c=1 d=3.8594e-06 t=30955
ji he 	集合	c=11 d=2.29861e-10 t=30955
ji he zhong 	集合中	c=1 d=8.44383e-11 t=30955
ji hua 	計劃	c=5 d=5.55996e-13 t=30955
ji huo 	激活	c=26 d=0.318398 t=30955
ji huo han shu 	激活函數	c=3 d=0.152375 t=30955
ji huo zhi 	激活值	c=1 d=0.0303487 t=30955
ji ke 	即刻	c=1 d=7.07232e-14 t=30955
ji ke 	即可	c=2 d=1.00625e-14 t=30955
ji ke 	極客	c=15 d=5.26719e-12 t=30955
ji ke sou suo 	極客搜索	c=1 d=7.34196e-13 t=30955
ji ke xue yuan 	極客學院	c=1 d=4.53214e-14 t=30955
ji lei 	基類	c=2 d=7.13072e-13 t=30955
ji li 	吉利	c=1 d=9.44684e-08 t=30955
ji lie 	幾列	c=1 d=9.40454e-14 t=30955
ji lu 	記錄	c=148 d=2.52911 t=30955
ji lu bu tong 	記錄不同	c=1 d=1.91685e-08 t=30955
ji lu shu 	記錄書	c=1 d=2.17318e-14 t=30955
ji lu xia 	記錄下	c=1 d=5.03217e-10 t=30955
ji lu yi 	記錄儀	c=1 d=3.11435e-12 t=30955
ji neng 	技能	c=1 d=6.7437e-13 t=30955
ji neng 	既能	c=1 d=1.01108e-12 t=30955
ji neng 	機能	c=2 d=2.80393e-12 t=30955
ji qi 	及其	c=1 d=2.97731e-12 t=30955
ji qi 	機器	c=3 d=0.000221885 t=30955
ji qi ren 	機器人	c=1 d=6.45923e-06 t=30955
ji qi xue xi 	機器學習	c=2 d=7.39876e-31 t=30955
ji qiao 	技巧	c=1 d=1.90794e-12 t=30955
ji qun 	集羣	c=1 d=7.25137e-14 t=30955
ji ran 	既然	c=2 d=7.12521e-13 t=30955
ji shi 	即時	c=5 d=2.22481e-12 t=30955
ji shi 	計時	c=1 d=3.22474e-10 t=30955
ji shou 	棘手	c=1 d=2.50579e-13 t=30955
ji shu 	技術	c=8 d=0.0129155 t=30955
ji shu 	計數	c=1 d=3.51142e-12 t=30955
ji song 	寄送	c=1 d=1.48408e-27 t=30955
ji suan 	計算	c=139 d=0.469689 t=30955
ji suan ji 	計算機	c=17 d=3.28876e-06 t=30955
ji suan qi 	計算器	c=1 d=1.46757e-13 t=30955
ji suan tu 	計算圖	c=1 d=0.99005 t=30955
ji tian 	幾天	c=1 d=7.89201e-10 t=30955
ji tuan 	集團	c=1 d=1.79249e-13 t=30955
ji wei 	幾位	c=1 d=2.30717e-12 t=30955
ji xiao 	績效	c=3 d=1.29905e-29 t=30955
ji xu 	繼續	c=7 d=1.61052e-12 t=30955
ji yi ci 	記一次	c=1 d=6.66046e-14 t=30955
ji yu 	基於	c=2 d=0.0014018 t=30955
ji zhang 	幾張	c=1 d=5.1515e-21 t=30955
ji zhang 	記賬	c=4 d=0.0162504 t=30955
ji zhi 	集智	c=2 d=2.29624e-17 t=30955
ji zhun 	基準	c=12 d=0.000685126 t=30955
ji zhun kuang 	基準框	c=1 d=6.31499e-05 t=30955
ji zhun lv 	基準率	c=31 d=0.00465716 t=30955
jia 	假	c=1 d=4.32152e-13 t=30955
jia 	價	c=14 d=1.84829e-12 t=30955
jia 	加	c=11 d=8.47659e-09 t=30955
jia 	夾	c=16 d=0.00138544 t=30955
jia 	甲	c=4 d=8.55978e-09 t=30955
jia ban 	加班	c=2 d=1.45573e-06 t=30955
jia cu 	加粗	c=2 d=3.34233e-12 t=30955
jia fa 	加法	c=0 d=6.1792e-15 t=30955
jia fa qi 	加法器	c=1 d=6.21018e-14 t=30955
jia ge 	價格	c=40 d=2.22779e-05 t=30955
jia ge tiao kuan 	價格條款	c=4 d=0.00390706 t=30955
jia gou 	架構	c=3 d=1.25778e-14 t=30955
jia kong 	架空	c=1 d=1.64245e-14 t=30955
