# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	30955
#@/user_id	win7
a 	啊	c=27 d=3.3874 t=29248
gao zhong 	高中	c=1 d=0.0623495 t=25716
ge 	個	c=32 d=3.20924 t=30740
ge 	各	c=1 d=5.87985e-018 t=25716
ge 	哥	c=1 d=0.332871 t=25716
ge 	格	c=8 d=1.00735 t=25716
ge 	歌	c=1 d=0.0186914 t=25716
ge 	隔	c=1 d=0.433874 t=25716
ge de er 	歌德爾	c=4 d=0.0288526 t=25716
ge deng 	咯噔	c=1 d=0.0368832 t=25716
ge ming 	革命	c=1 d=1 t=30942
ge ren 	個人	c=2 d=0.0136458 t=25716
ge shi 	格式	c=16 d=1.97533 t=30892
ge shi hua 	格式化	c=48 d=1.53849 t=25716
ge shi shi 	格式是	c=1 d=0.00433948 t=25716
ge shu 	個數	c=1 d=0.0710054 t=25716
ge si qi zhi 	各司其職	c=1 d=0.13068 t=25716
ge wei 	各位	c=1 d=1.42715e-008 t=25716
ge xiang 	各項	c=1 d=5.0617e-020 t=25716
ge xiao shi 	個小時	c=1 d=0.00719046 t=25716
ge yuan 	各院	c=1 d=0.000300519 t=25716
ge zhong 	各種	c=5 d=0.000137767 t=25716
gei 	給	c=13 d=0.162978 t=25716
gei ding 	給定	c=1 d=0.0290133 t=25716
gei ni 	給你	c=3 d=1 t=29999
gei wo 	給我	c=3 d=1.92774 t=29106
gen 	根	c=2 d=1 t=29750
gen 	跟	c=5 d=0.141639 t=25716
gen jie dian 	根節點	c=39 d=1.01737 t=29613
gen jie duan 	跟階段	c=1 d=0.790571 t=25716
gen ju 	根據	c=133 d=1.31403 t=30349
gen lu jing 	根路徑	c=2 d=1 t=25924
gen ni 	跟你	c=2 d=1 t=28064
gen wo 	跟我	c=1 d=0.615697 t=25716
geng 	更	c=2 d=0.595749 t=25716
geng duo 	更多	c=1 d=0.000109455 t=25716
geng fang bian 	更方便	c=1 d=1 t=28308
geng gai 	更改	c=74 d=1.09187 t=28806
geng gai xing bie 	更改性別	c=1 d=3.33041e-007 t=25716
geng huan 	更換	c=5 d=1.00031 t=27065
geng jia 	更加	c=1 d=0.224249 t=25716
geng jian dan 	更簡單	c=1 d=0.268474 t=25716
geng kuai 	更快	c=1 d=0.267135 t=25716
geng xin 	更新	c=246 d=3.19594 t=30639
geng xin biao 	更新表	c=2 d=0.891967 t=25716
geng xin cheng gong 	更新成功	c=1 d=0.0108347 t=25716
geng xin hou 	更新後	c=1 d=1 t=25649
geng xin ru 	更新入	c=1 d=3.29952e-015 t=25716
geng xin yi hou 	更新以後	c=1 d=9.23588e-007 t=25716
geng xin yi xia 	更新一下	c=1 d=0.00263203 t=25716
geng you 	更有	c=1 d=0.299692 t=25716
geng yuan 	更遠	c=1 d=0.123687 t=25716
geng zai 	更在	c=1 d=0.25924 t=25716
gong 	供	c=1 d=0.000143382 t=25716
gong 	公	c=0 d=0.1 t=29921
gong chang 	工廠	c=9 d=0.741796 t=25716
gong chang mo shi 	工廠模式	c=1 d=0.0146253 t=25716
gong cheng 	工程	c=1 d=8.92429e-015 t=25716
gong cheng lve di 	攻城略地	c=1 d=0.0439369 t=25716
gong cheng shi 	工程師	c=5 d=0.0669365 t=25716
gong cun 	共存	c=1 d=0.0773047 t=25716
gong gao 	公告	c=1 d=0.280832 t=25716
gong ji 	攻擊	c=2 d=1.97045 t=25975
gong ji jin 	公積金	c=1 d=0.843665 t=25716
gong ju 	工具	c=80 d=0.100293 t=30725
gong ju lan 	工具欄	c=1 d=0.0147723 t=25716
gong ju lei 	工具類	c=3 d=0.748264 t=25716
gong ju xiang 	工具箱	c=2 d=0.00140882 t=25716
gong kai ke 	公開課	c=2 d=1 t=29467
gong lve 	攻略	c=4 d=1 t=25943
gong neng 	功能	c=27 d=1.31125 t=26002
gong neng dian 	功能點	c=9 d=1.56269 t=25716
gong shang 	工商	c=1 d=0.798516 t=25716
gong si 	公司	c=47 d=1.00006 t=30867
gong si hao 	公司號	c=1 d=0.182684 t=25716
gong tong 	共通	c=22 d=1.95056 t=26090
gong xi 	恭喜	c=4 d=1 t=28379
gong xi ni 	恭喜你	c=1 d=0.135335 t=25716
gong xiang 	共享	c=2 d=1 t=29146
gong yao 	公鑰	c=4 d=1.97685 t=29773
gong ye 	工業	c=1 d=0.00367942 t=25716
gong ying 	供應	c=8 d=0.306819 t=25716
gong ying shang 	供應商	c=203 d=1.13599 t=30432
gong you 	共有	c=3 d=1.02748 t=30738
gong zi 	工資	c=1 d=0.020089 t=25716
gong zu fang 	公租房	c=1 d=1 t=29922
gong zuo 	工作	c=22 d=1 t=28958
gong zuo ri 	工作日	c=12 d=0.0908481 t=25716
gong zuo ri li 	工作日歷	c=2 d=0.743855 t=25716
gong zuo ri li 	工作日裏	c=3 d=0.0225209 t=25716
gong zuo ri qi 	工作日期	c=1 d=0.00506703 t=25716
gou 	勾	c=3 d=0.134197 t=25716
gou 	夠	c=2 d=0.1 t=28324
gou 	狗	c=4 d=1 t=27811
gou cheng 	構成	c=0 d=0.00337087 t=25716
gou cheng shu 	構成數	c=3 d=0.812455 t=25716
gou jian 	構建	c=3 d=0.402263 t=25716
gou mai 	購買	c=1 d=0.0302213 t=25716
gou mai ding dan jie tu 	購買訂單截圖	c=1 d=0.024972 t=25716
gou ni yong 	夠你用	c=1 d=1 t=28325
gou tong 	溝通	c=5 d=0.287625 t=25716
gou wu 	購物	c=1 d=0.245367 t=25716
gou xuan 	勾選	c=6 d=0.1 t=30898
gou xuan hang 	勾選行	c=1 d=1 t=30899
gou yong 	夠用	c=1 d=0.000426457 t=25716
gou zao 	構造	c=2 d=0.915668 t=25716
gou zao han shu 	構造函數	c=1 d=0.546074 t=25716
gou zhu 	構築	c=2 d=0.750857 t=25716
gou zi 	鉤子	c=2 d=1.99501 t=29715
gu 	股	c=0 d=0.1 t=24793
gu an xi 	股安息	c=1 d=1 t=24794
gu ding 	固定	c=0 d=0.000160441 t=25716
gu dong 	股東	c=1 d=0.287941 t=25716
gu ge 	僱個	c=0 d=0.0045502 t=25716
gu ge 	谷歌	c=7 d=1 t=29029
gu ge ren 	僱個人	c=1 d=0.04573 t=25716
gu ji 	估計	c=1 d=1 t=28265
gu jia 	估價	c=10 d=2.93982 t=27071
gu jian 	固件	c=3 d=1.85851 t=29088
gu ming si yi 	顧名思義	c=1 d=0.0267827 t=25716
gu shi 	故事	c=1 d=0.782705 t=25716
gua zai 	掛載	c=2 d=1.83946 t=28261
guai bao bao 	乖寶寶	c=1 d=0.000893825 t=25716
guan 	關	c=3 d=0.551563 t=25716
guan bi 	關閉	c=34 d=2.98851 t=29356
guan fang 	官方	c=4 d=0.0117271 t=25716
guan fang wang zhan 	官方網站	c=1 d=1 t=25511
guan ji 	關機	c=3 d=1 t=27914
guan jian zi 	關鍵字	c=11 d=1.00002 t=29332
guan li 	管理	c=86 d=2.13589 t=29338
guan li fei 	管理費	c=4 d=3.8113 t=24645
guan li qi 	管理器	c=3 d=4.85715e-005 t=25716
guan li yuan 	管理員	c=1 d=3.02282e-014 t=25716
guan lian 	關聯	c=19 d=1.42706 t=25716
guan lian tiao jian 	關聯條件	c=1 d=0.110803 t=25716
guan shui 	關稅	c=9 d=5.10641 t=27030
guan shui lv 	關稅率	c=4 d=8.77638e-017 t=25716
guan wang 	官網	c=4 d=0.597501 t=25716
guan xi 	關係	c=11 d=1 t=29740
guan xi 	關西	c=1 d=1.09501 t=24787
guan yu 	關於	c=11 d=1.00014 t=27579
guan zhi 	管制	c=1 d=1 t=29952
guang biao 	光標	c=1 d=0.136695 t=25716
gui 	櫃	c=2 d=1 t=27896
gui 	鬼	c=2 d=1 t=27898
gui dao 	軌道	c=0 d=0.0740818 t=25716
gui dao pian li 	軌道偏離	c=1 d=0.744532 t=25716
gui fan 	規範	c=5 d=1 t=29661
gui lai 	歸來	c=1 d=0.00158844 t=25716
gui lei 	歸類	c=1 d=2.54323e-011 t=25716
gui shu di 	歸屬地	c=2 d=7.28283e-016 t=25716
gui ze 	規則	c=7 d=1 t=28153
gun dong tiao 	滾動條	c=2 d=6.16532e-009 t=25716
guo 	國	c=1 d=0.865022 t=25716
guo 	果	c=3 d=0.164474 t=25716
guo 	過	c=15 d=1 t=29953
guo bu xia qu 	過不下去	c=1 d=0.210136 t=25716
guo chang 	過長	c=1 d=1.59695e-007 t=25716
guo cheng 	過程	c=15 d=2.97649 t=27510
guo dao 	國道	c=1 d=0.818731 t=25716
guo duan 	過段	c=1 d=4.24763e-016 t=25716
guo ji 	國際	c=2 d=1 t=28809
guo ji hua 	國際化	c=63 d=2.81004 t=30900
guo jia 	國家	c=11 d=2.96815 t=25716
guo lai 	過來	c=3 d=0.00343067 t=25716
guo le 	過了	c=2 d=0.037068 t=25716
guo lv qi 	過濾器	c=3 d=0.612921 t=25716
guo qu 	過去	c=4 d=1 t=29168
guo wan piao pen 	鍋碗瓢盆	c=1 d=8.44239e-009 t=25716
guo wen gui 	郭文貴	c=1 d=1 t=28876
ha 	哈	c=3 d=1 t=29153
ha ha 	哈哈	c=6 d=0.414783 t=25716
ha xi 	哈嘻	c=1 d=0.00138093 t=25716
ha xi 	哈希	c=1 d=0.00139481 t=25716
ha xi biao 	哈希表	c=8 d=1 t=26387
hai 	還	c=11 d=0.100284 t=29959
hai bu 	還不	c=0 d=0.0064894 t=25716
hai bu zhi yu 	還不至於	c=1 d=0.0652193 t=25716
hai cha 	還差	c=1 d=0.0426384 t=25716
hai cong 	還從	c=1 d=7.66398e-018 t=25716
hai guan 	海關	c=5 d=1.06204 t=26269
hai hao 	還好	c=1 d=0.000911882 t=25716
hai hao ba 	還好吧	c=1 d=1 t=29960
hai hen 	還很	c=0 d=6.39387e-005 t=25716
hai hen cai 	還很菜	c=1 d=0.000642592 t=25716
hai hui bu hui 	還會不會	c=1 d=2.3477e-011 t=25716
hai mai le 	還買了	c=1 d=0.759572 t=25716
hai mei 	還沒	c=1 d=0.865022 t=25716
hai mei da dian hua 	還沒打電話	c=1 d=9.4713e-009 t=25716
hai mei you 	還沒有	c=3 d=0.156415 t=25716
hai neng 	還能	c=2 d=1.00019 t=26742
hai shi 	還是	c=23 d=1.50958 t=28097
hai shi bu xing 	還是不行	c=1 d=1 t=27964
hai shuo 	還說	c=1 d=1 t=27757
hai wai 	海外	c=1 d=1 t=28743
hai you 	還有	c=10 d=1.00015 t=27232
hai you ge 	還有個	c=1 d=0.013912 t=25716
hai zei wang 	海賊王	c=3 d=0.0260937 t=25716
hai zhen shi 	還真是	c=1 d=0.000973123 t=25716
hai zi 	孩子	c=1 d=0.0531307 t=25716
han 	函	c=1 d=0.1 t=29401
han 	含	c=1 d=0.000639387 t=25716
han 	涵	c=1 d=0.329559 t=25716
han bao 	漢堡	c=1 d=0.00255424 t=25716
han shu 	函數	c=48 d=5.44811 t=30461
han shu shi 	函數式	c=3 d=1.00001 t=27719
han shui 	含稅	c=4 d=0.327915 t=25716
han you 	含有	c=3 d=2.87114 t=30676
han zi 	漢字	c=1 d=0.254107 t=25716
hang 	行	c=126 d=0.137899 t=30898
hang bian ji 	行編輯	c=16 d=1 t=28589
hang dian ji 	行點擊	c=9 d=1 t=28037
hang hao 	行號	c=8 d=0.559919 t=25716
hang nei 	行內	c=1 d=5.04605e-013 t=25716
hang shan chu 	行刪除	c=2 d=2.30029e-009 t=25716
hang shu 	行數	c=2 d=0.19765 t=25716
hang tian jia 	行添加	c=3 d=0.0605068 t=25716
hang xiang su 	行像素	c=1 d=1 t=30648
hang xin xi 	行信息	c=1 d=7.56427e-011 t=25716
hang ye 	行業	c=2 d=0.307825 t=25716
hang zeng jia 	行增加	c=1 d=0.339596 t=25716
hang zhou 	杭州	c=7 d=0.00310438 t=25716
hao 	好	c=53 d=1.01559 t=30719
hao 	號	c=40 d=1.02843 t=29682
hao ba 	好吧	c=6 d=0.1 t=29959
hao chu fa 	好觸發	c=1 d=5.56425e-016 t=25716
hao da 	好大	c=1 d=0.00748391 t=25716
hao de 	好的	c=12 d=1 t=28889
hao di 	好滴	c=1 d=0.0784731 t=25716
hao jia 	好價	c=1 d=0.822835 t=25716
hao jian 	好劍	c=1 d=0.0221482 t=25716
hao jiu 	好久	c=1 d=0.00174675 t=25716
hao le 	好了	c=5 d=0.0939606 t=25716
hao ma 	號碼	c=10 d=0.64731 t=25716
hao mang 	好忙	c=1 d=0.0200405 t=25716
hao miao 	毫秒	c=2 d=1.00432 t=26628
hao ping 	好評	c=1 d=0.00657159 t=25716
hao shi 	耗時	c=1 d=1 t=25126
hao xiang 	好像	c=3 d=0.116081 t=25716
hao zhao 	好找	c=1 d=0.000223746 t=25716
hao zou 	好走	c=1 d=0.00582847 t=25716
he 	何	c=2 d=0.092089 t=25716
he 	和	c=141 d=1.39258 t=30681
he 	盒	c=6 d=0.506946 t=25716
he bing 	合併	c=96 d=1.00357 t=30798
he chu 	何處	c=2 d=1.84177 t=25716
he dui 	覈對	c=0 d=0.1 t=29719
he dui ju zhen 	覈對矩陣	c=1 d=1 t=29720
he fa 	合法	c=1 d=0.826959 t=25716
he fa xing 	合法性	c=2 d=0.282677 t=25716
he gui 	合規	c=4 d=2.93124 t=29668
he he 	呵呵	c=1 d=1 t=27927
he ji 	合計	c=11 d=1.00455 t=26999
he tong 	合同	c=6 d=0.486798 t=25716
he tong hao 	合同號	c=1 d=0.331211 t=25716
he zuo 	合作	c=1 d=0.00236968 t=25716
hei 	嘿	c=1 d=0.0365162 t=25716
hei 	黑	c=0 d=0.0579842 t=25716
hei bai 	黑白	c=1 d=1 t=28963
hei hei 	嘿嘿	c=0 d=0.00361528 t=25716
hei hei hei 	黑嘿嘿	c=1 d=0.036334 t=25716
hei mei 	黑莓	c=1 d=0.136695 t=25716
hei se 	黑色	c=3 d=0.00646695 t=25716
hei ti 	黑體	c=1 d=2.03146e-016 t=25716
hen 	很	c=2 d=0.801423 t=25716
hen bang 	很棒	c=1 d=1 t=28349
hen bu 	很不	c=0 d=0.1 t=26759
hen bu cuo 	很不錯	c=1 d=0.0151463 t=25716
hen bu xi huan 	很不喜歡	c=1 d=1 t=26760
hen duo 	很多	c=0 d=0.1 t=29934
hen hao 	很好	c=2 d=0.13399 t=25716
hen jin 	很近	c=1 d=0.810584 t=25716
hen xiang 	很想	c=1 d=0.123687 t=25716
hen xiao 	很小	c=1 d=0.00225411 t=25716
hen you 	很有	c=1 d=0.140156 t=25716
heng 	橫	c=1 d=0.554327 t=25716
heng kong 	橫空	c=1 d=0.0495388 t=25716
hong 	宏	c=4 d=3.85228e-015 t=25716
hong 	紅	c=1 d=0.955997 t=25716
hong bao 	紅包	c=3 d=0.039908 t=25716
hong chong 	紅衝	c=1 d=1 t=30809
hong dian 	紅點	c=1 d=0.308819 t=25716
hong huang lan 	紅黃藍	c=1 d=1 t=30811
hong mei su 	紅黴素	c=1 d=0.384812 t=25716
hong qiao 	虹橋	c=2 d=0.806541 t=25716
hong qiao zhen 	虹橋鎮	c=1 d=0.00116504 t=25716
hong xing er ke 	鴻興爾克	c=1 d=0.683861 t=25716
hou 	吼	c=4 d=0.189268 t=25716
hou 	後	c=75 d=1.03863 t=30640
hou duan 	後端	c=2 d=0.557106 t=25716
hou hou 	吼吼	c=1 d=0.0948935 t=25716
hou lian pi 	厚臉皮	c=1 d=0.337902 t=25716
hou liang wei 	後兩位	c=1 d=6.17501e-006 t=25716
hou long 	喉嚨	c=1 d=0.0564161 t=25716
hou men 	後門	c=1 d=1 t=28741
hou mian 	後面	c=4 d=2.58134 t=27320
hou po 	吼破	c=1 d=0.0561348 t=25716
hou tai 	後臺	c=10 d=2.94104 t=27167
hou xu 	後續	c=1 d=1 t=25180
hou xuan 	候選	c=1 d=9.74032e-006 t=25716
hou xuan shu 	候選數	c=1 d=8.93978e-006 t=25716
hu 	戶	c=2 d=0.778801 t=25716
hu 	胡	c=0 d=0.00127784 t=25716
hu dai su 	胡怠速	c=1 d=0.0128424 t=25716
hu die 	蝴蝶	c=1 d=1 t=26749
hu dong 	互動	c=1 d=0.0129068 t=25716
hu huan 	互換	c=1 d=0.00194013 t=25716
hu kou 	戶口	c=1 d=1.09501 t=29984
hu lian wang 	互聯網	c=17 d=1 t=29134
hu lve 	忽略	c=18 d=1.99005 t=29465
hu yan 	護眼	c=1 d=1 t=29306
hua 	化	c=13 d=1.00028 t=30919
hua 	畫	c=1 d=0.0117371 t=25716
hua 	華	c=1 d=1 t=30835
hua 	話	c=11 d=1.00134 t=29263
hua feng 	畫風	c=1 d=0.0150707 t=25716
hua jun 	華軍	c=1 d=3.33098e-009 t=25716
hua kai 	花開	c=0 d=0.00123389 t=25716
hua kuo hao 	花括號	c=1 d=3.5725e-009 t=25716
hua le 	花了	c=1 d=0.939515 t=25716
hua mian 	畫面	c=133 d=3.94946 t=25716
hua mian shang 	畫面上	c=1 d=0.000925663 t=25716
hua ren 	華人	c=1 d=0.00125578 t=25716
hua sheng ke 	花生殼	c=4 d=1.36604 t=29286
hua shuo 	華碩	c=1 d=1 t=28742
hua shuo 	話說	c=1 d=0.00798652 t=25716
hua xian 	劃線	c=1 d=1 t=25716
huan 	換	c=6 d=1.00065 t=27067
huan 	歡	c=1 d=0.0925506 t=25716
huan 	還	c=2 d=0.0613006 t=25716
huan cheng 	換成	c=2 d=0.115903 t=25716
huan chong 	緩衝	c=1 d=0.444858 t=25716
huan cun 	緩存	c=22 d=6.2711 t=30626
huan de 	換的	c=1 d=2.97833e-016 t=25716
huan gei 	還給	c=1 d=0.0658748 t=25716
huan hang 	換行	c=3 d=0.489192 t=25716
huan jing 	環境	c=8 d=2.03085 t=25808
huan kuan 	還款	c=0 d=0.00295994 t=25716
huan kuan ri 	還款日	c=1 d=0.0297478 t=25716
huan le 	換了	c=1 d=0.0183156 t=25716
huan ping 	換屏	c=1 d=1 t=27372
huan wan le 	還完了	c=1 d=0.0343896 t=25716
huan ying 	歡迎	c=2 d=0.0279206 t=25716
huan ying ni 	歡迎你	c=1 d=0.0411719 t=25716
huan yong 	換用	c=1 d=1.9718e-017 t=25716
huan yuan 	還原	c=1 d=8.82797e-005 t=25716
huang 	晃	c=1 d=1 t=27181
huang 	黃	c=1 d=0.000689186 t=25716
huang lao shi 	黃老師	c=4 d=0.0037982 t=25716
hui 	回	c=1 d=0.331211 t=25716
hui 	惠	c=2 d=1.84163 t=25716
hui 	會	c=41 d=1.00886 t=29202
hui ba 	會把	c=1 d=0.0103063 t=25716
hui bei 	會被	c=1 d=0.501576 t=25716
hui bu hui 	會不會	c=3 d=1 t=26753
hui che 	回車	c=3 d=0.0343896 t=25716
hui chu 	繪出	c=1 d=1 t=30560
hui dao 	回到	c=1 d=0.142274 t=25716
hui diao 	回調	c=16 d=0.482272 t=25716
hui diao han shu 	回調函數	c=3 d=2.86437 t=24503
hui dui 	會對	c=1 d=0.07502 t=25716
hui fu 	回覆	c=16 d=1.99005 t=28755
hui fu 	恢復	c=39 d=1 t=30933
hui fu zhuang tai 	回覆狀態	c=1 d=0.618783 t=25716
hui gao su 	會告訴	c=1 d=1 t=27948
hui gui 	回歸	c=1 d=0.0655462 t=25716
hui gun 	回滾	c=2 d=4.65492e-005 t=25716
hui kuai 	會快	c=1 d=1 t=28331
hui lai 	回來	c=1 d=0.000291637 t=25716
hui lai 	會來	c=1 d=1.4854e-008 t=25716
hui lao jia 	回老家	c=1 d=1 t=30006
hui lv 	匯率	c=60 d=1.76086 t=26569
hui qu 	回去	c=3 d=0.0434126 t=25716
hui se 	灰色	c=2 d=0.0735345 t=25716
hui tong 	匯通	c=1 d=1.00014 t=30759
hui wei 	回味	c=1 d=0.00115923 t=25716
hui yi 	會議	c=1 d=1 t=27559
hui yong 	會用	c=1 d=1 t=27397
hui you 	會有	c=1 d=0.0366992 t=25716
hui yuan 	會員	c=1 d=0.0213864 t=25716
hui zai 	會在	c=2 d=9.31885e-005 t=25716
hui zong 	彙總	c=1 d=6.25428e-009 t=25716
hun luan 	混亂	c=3 d=0.824444 t=25716
huo 	或	c=40 d=1.79593 t=30455
huo 	火	c=1 d=0.402524 t=25716
huo 	貨	c=5 d=1 t=30801
huo ban 	夥伴	c=12 d=1.01487 t=30744
huo bi 	貨幣	c=9 d=0.694301 t=25716
huo de 	火的	c=2 d=0.821353 t=25716
huo de 	獲得	c=2 d=0.282239 t=25716
huo de li wu 	獲得禮物	c=1 d=0.400517 t=25716
huo hu 	火狐	c=4 d=0.1 t=28960
huo hu liu lan 	火狐瀏覽	c=1 d=1 t=28961
huo hua 	火花	c=1 d=0.313486 t=25716
huo ju 	火炬	c=1 d=0.14808 t=25716
huo men 	或門	c=1 d=0.0875977 t=25716
huo miao 	火苗	c=1 d=0.139457 t=25716
huo qu 	獲取	c=355 d=4.85286 t=29894
huo qu dao 	獲取到	c=1 d=1.82305e-006 t=25716
huo rong 	火絨	c=2 d=0.496585 t=25716
huo zhe 	或者	c=9 d=1.46334 t=29144
ji 	及	c=75 d=1.52769 t=29834
ji 	季	c=1 d=1 t=25193
ji 	幾	c=1 d=0.00726273 t=25716
ji 	急	c=1 d=0.29671 t=25716
ji 	極	c=1 d=0.00582847 t=25716
ji 	機	c=4 d=1 t=29759
ji 	級	c=2 d=0.00594622 t=25716
ji 	計	c=1 d=0.151072 t=25716
ji 	記	c=0 d=0.00157644 t=25716
ji 	集	c=0 d=0.0540641 t=25716
ji ben 	基本	c=23 d=1.0892 t=29956
ji bie 	級別	c=2 d=1.88692 t=29540
ji bu qing 	記不清	c=1 d=0.0204453 t=25716
ji chang 	機場	c=3 d=2.94128 t=24789
ji cheng 	繼承	c=7 d=0.496615 t=25716
ji chu 	基礎	c=9 d=1.08374 t=29473
ji cun qi 	寄存器	c=1 d=0.514274 t=25716
ji dao 	寄到	c=1 d=3.65597e-016 t=25716
ji dian 	幾點	c=1 d=1 t=27572
ji dian qi 	繼電器	c=4 d=0.293048 t=25716
ji feng 	機鋒	c=1 d=0.000490542 t=25716
ji ge 	幾個	c=3 d=0.0428521 t=25716
ji ge yue 	幾個月	c=1 d=1 t=28071
ji guang 	極光	c=3 d=1.90357 t=25716
ji guo lai 	寄過來	c=0 d=3.72983e-017 t=25716
ji hang 	幾行	c=1 d=1 t=28462
ji he 	集合	c=11 d=1.80661 t=26398
ji he zhong 	集合中	c=1 d=1 t=26316
ji hua 	計劃	c=5 d=0.132256 t=25716
ji huo 	激活	c=26 d=3.78311 t=30460
ji huo han shu 	激活函數	c=3 d=1.86561 t=30454
ji huo zhi 	激活值	c=1 d=1 t=30256
ji ke 	即刻	c=1 d=0.0168231 t=25716
ji ke 	即可	c=2 d=0.00239359 t=25716
ji ke 	極客	c=15 d=1.25292 t=25716
ji ke sou suo 	極客搜索	c=1 d=1 t=25367
ji ke xue yuan 	極客學院	c=1 d=0.0107807 t=25716
ji lei 	基類	c=2 d=0.16962 t=25716
ji li 	吉利	c=1 d=1 t=27720
ji lie 	幾列	c=1 d=0.0223708 t=25716
ji lu 	記錄	c=148 d=3.21513 t=30907
ji lu bu tong 	記錄不同	c=1 d=1 t=27401
ji lu shu 	記錄書	c=1 d=0.00516939 t=25716
ji lu xia 	記錄下	c=1 d=1 t=26673
ji lu yi 	記錄儀	c=1 d=0.740818 t=25716
ji neng 	技能	c=1 d=0.160414 t=25716
ji neng 	既能	c=1 d=0.240508 t=25716
ji neng 	機能	c=2 d=0.666977 t=25716
ji qi 	及其	c=1 d=0.70822 t=25716
ji qi 	機器	c=3 d=1.00165 t=29272
ji qi ren 	機器人	c=1 d=1 t=28565
ji qi xue xi 	機器學習	c=2 d=1.75996e-019 t=25716
ji qiao 	技巧	c=1 d=0.453845 t=25716
ji qun 	集羣	c=1 d=0.017249 t=25716
ji ran 	既然	c=2 d=0.169489 t=25716
ji shi 	即時	c=5 d=0.529221 t=25716
ji shi 	計時	c=1 d=1 t=26584
ji shou 	棘手	c=1 d=0.0596059 t=25716
ji shu 	技術	c=8 d=1.98511 t=29948
ji shu 	計數	c=1 d=0.83527 t=25716
ji song 	寄送	c=1 d=3.53022e-016 t=25716
ji suan 	計算	c=139 d=0.476787 t=30952
ji suan ji 	計算機	c=17 d=1 t=28430
ji suan qi 	計算器	c=1 d=0.0349094 t=25716
ji suan tu 	計算圖	c=1 d=1 t=30953
ji tian 	幾天	c=1 d=1 t=26763
ji tuan 	集團	c=1 d=0.0426384 t=25716
ji wei 	幾位	c=1 d=0.548812 t=25716
ji xiao 	績效	c=3 d=3.09008e-018 t=25716
ji xu 	繼續	c=7 d=0.383098 t=25716
ji yi ci 	記一次	c=1 d=0.0158434 t=25716
ji yu 	基於	c=2 d=1 t=29641
ji zhang 	幾張	c=1 d=1.2254e-009 t=25716
ji zhang 	記賬	c=4 d=2.94575 t=29915
ji zhi 	集智	c=2 d=5.46211e-006 t=25716
ji zhun 	基準	c=12 d=1.06619 t=29485
ji zhun kuang 	基準框	c=1 d=1 t=29021
ji zhun lv 	基準率	c=31 d=2.41247 t=29705
jia 	假	c=1 d=0.102797 t=25716
jia 	價	c=14 d=0.439657 t=25716
jia 	加	c=11 d=1.00405 t=27237
jia 	夾	c=16 d=1.97045 t=29503
jia 	甲	c=4 d=3.97017 t=26964
jia ban 	加班	c=2 d=1 t=28267
jia cu 	加粗	c=2 d=0.795049 t=25716
jia fa 	加法	c=0 d=0.00146986 t=25716
jia fa qi 	加法器	c=1 d=0.0147723 t=25716
jia ge 	價格	c=40 d=1.9505 t=28679
jia ge tiao kuan 	價格條款	c=4 d=1.00003 t=29846
jia gou 	架構	c=3 d=0.00299192 t=25716
jia kong 	架空	c=1 d=0.00390694 t=25716
jia kuai 	加快	c=1 d=0.00440507 t=25716
jia li 	佳麗	c=1 d=8.35839e-009 t=25716
jia li 	家裏	c=1 d=3.6743e-016 t=25716
jia li ren 	家裏人	c=1 d=3.72983e-016 t=25716
jia mi 	加密	c=2 d=1 t=30936
jia ru 	假如	c=1 d=0.0958472 t=25716
jia ru 	加入	c=11 d=1.01974 t=26473
jia shang 	加上	c=2 d=0.486762 t=25716
jia shang qu 	加上去	c=1 d=0.0108347 t=25716
jia ting 	家庭	c=2 d=2.69416e-005 t=25716
jia xiang 	家鄉	c=1 d=1 t=30008
jia zai 	加載	c=42 d=3.35919 t=25716
jia zai lei 	加載類	c=1 d=0.891366 t=25716
jia zai wan 	加載完	c=1 d=0.238115 t=25716
jia zi 	架子	c=1 d=9.19138e-009 t=25716
jian 	件	c=4 d=0.891366 t=25716
jian 	健	c=3 d=1.00004 t=27416
jian 	劍	c=1 d=0.0223708 t=25716
jian 	減	c=4 d=1.02678 t=26125
jian 	見	c=9 d=0.16046 t=25716
jian 	鍵	c=8 d=1.9901 t=27691
jian 	間	c=5 d=1 t=30430
jian bang 	肩膀	c=0 d=0.0120633 t=25716
jian bang shang 	肩膀上	c=1 d=0.121238 t=25716
jian ce 	檢測	c=1 d=0.1 t=30894
jian cha 	檢查	c=23 d=0.657156 t=30893
jian dan 	簡單	c=2 d=0.141979 t=25716
jian fa 	減法	c=3 d=1.20863e-015 t=25716
jian guan 	監管	c=1 d=1 t=24889
jian guo 	堅果	c=3 d=0.215456 t=25716
jian guo yun 	堅果雲	c=1 d=0.000800719 t=25716
jian kong 	監控	c=3 d=0.0598262 t=25716
jian li 	建立	c=1 d=0.0889216 t=25716
jian li 	簡歷	c=8 d=0.888242 t=25716
jian nan 	艱難	c=1 d=1 t=25043
jian pan 	鍵盤	c=2 d=1.00001 t=26751
jian qie 	剪切	c=7 d=1.02094 t=25716
jian qie ban 	剪切板	c=1 d=1.74342e-010 t=25716
jian qu 	減去	c=2 d=0.532592 t=25716
jian rong 	兼容	c=2 d=0.99005 t=25716
jian shao 	減少	c=2 d=0.0104701 t=25716
