# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	51595
#@/user_id	macbook
a 	啊	c=254 d=4.68748 t=51595
guo guan 	過關	c=1 d=0.0281559 t=51595
guo ji 	國際	c=4 d=2.18786e-05 t=51595
guo ji ban 	國際版	c=3 d=1.58839e-32 t=51595
guo ji da sha 	國際大廈	c=1 d=1.42148e-20 t=51595
guo ji hua 	國際化	c=63 d=2.13443 t=51595
guo ji tian 	過幾天	c=1 d=5.13017e-31 t=51595
guo jia 	國家	c=15 d=6.18661e-05 t=51595
guo ke 	果殼	c=1 d=1 t=49211
guo lai 	過來	c=14 d=1.22342 t=51595
guo lai bei 	過來唄	c=1 d=1.3445e-12 t=51595
guo le 	過了	c=4 d=2.51707e-07 t=51595
guo liang nian 	過兩年	c=1 d=0.519442 t=51595
guo liang tian 	過兩天	c=2 d=0.32628 t=51595
guo lv qi 	過濾器	c=3 d=4.16198e-06 t=51595
guo ma lu 	過馬路	c=2 d=4.5921e-11 t=51595
guo mei guo 	過沒過	c=1 d=3.25482e-31 t=51595
guo nei 	國內	c=8 d=0.000103597 t=51595
guo ni he 	過擬合	c=3 d=0.582748 t=51595
guo nian 	過年	c=1 d=1.52295e-37 t=51595
guo qing 	國慶	c=1 d=1.82429e-14 t=51595
guo qu 	過去	c=13 d=0.032899 t=51595
guo ran 	果然	c=1 d=1.44897e-10 t=51595
guo ren 	國人	c=1 d=0.0273237 t=51595
guo wai 	國外	c=2 d=6.64215e-11 t=51595
guo wan 	過萬	c=2 d=0.202909 t=51595
guo wan piao pen 	鍋碗瓢盆	c=1 d=5.73272e-14 t=51595
guo wen gui 	郭文貴	c=1 d=3.0585e-05 t=51595
guo ye 	過夜	c=1 d=2.78171e-36 t=51595
guo yi duan 	過一段	c=1 d=8.24236e-21 t=51595
guo yi wan 	過一萬	c=1 d=1.4306e-07 t=51595
guo yu yan 	過語言	c=1 d=1.72602e-39 t=51595
ha 	哈	c=12 d=0.177293 t=51595
ha ha 	哈哈	c=61 d=1.53098 t=51595
ha ha 	😄	c=1 d=0.00914087 t=51595
ha ha ha 	哈哈哈	c=1 d=0.965605 t=51595
ha ha ha ha ha ha ha 	哈哈哈哈哈哈哈	c=0 d=8.46397e-40 t=51595
ha li bo te 	哈利波特	c=1 d=1 t=48335
ha xi 	哈嘻	c=1 d=9.37707e-09 t=51595
ha xi 	哈希	c=1 d=9.47132e-09 t=51595
ha xi biao 	哈希表	c=8 d=6.72513e-10 t=51595
ha xi ma 	哈希碼	c=1 d=1.8659e-44 t=51595
hai 	海	c=2 d=4.29762e-36 t=51595
hai 	還	c=32 d=0.207531 t=51595
hai bu 	還不	c=0 d=0.0159614 t=51595
hai bu cuo 	還不錯	c=4 d=6.22097e-05 t=51595
hai bu hui lai 	還不回來	c=1 d=4.87167e-11 t=51595
hai bu liao 	還不了	c=1 d=0.00946646 t=51595
hai bu ru 	還不如	c=1 d=3.22737e-49 t=51595
hai bu zhi dao 	還不知道	c=1 d=2.06285e-48 t=51595
hai bu zhi yu 	還不至於	c=1 d=4.42865e-07 t=51595
hai cha 	還差	c=1 d=2.89532e-07 t=51595
hai cong 	還從	c=1 d=5.20415e-23 t=51595
hai dao 	海盜	c=2 d=8.33228e-32 t=51595
hai dao wan 	海盜灣	c=1 d=8.37404e-31 t=51595
hai deng zhe 	還等着	c=1 d=0.0214936 t=51595
hai dou mei 	還都沒	c=1 d=0.336216 t=51595
hai gen wo shuo 	還跟我說	c=1 d=0.00530026 t=51595
hai gou 	海購	c=1 d=3.58102e-37 t=51595
hai gou 	還夠	c=1 d=3.42472e-12 t=51595
hai guan 	海關	c=5 d=6.68931e-06 t=51595
hai hao 	還好	c=7 d=0.00124951 t=51595
hai hao ba 	還好吧	c=1 d=0.00690852 t=51595
hai hao yi si 	還好意思	c=2 d=0.0133658 t=51595
hai hen 	還很	c=0 d=4.3417e-10 t=51595
hai hen cai 	還很菜	c=1 d=4.36346e-09 t=51595
hai hui 	還會	c=1 d=0.010889 t=51595
hai hui bu hui 	還會不會	c=1 d=1.59418e-16 t=51595
hai ke 	還可	c=1 d=1.45168e-32 t=51595
hai ke yi 	還可以	c=4 d=0.000267181 t=51595
hai lun lu 	海倫路	c=1 d=9.9569e-09 t=51595
hai mai le 	還買了	c=2 d=0.0642534 t=51595
hai mang 	還忙	c=1 d=5.24273e-51 t=51595
hai mei 	還沒	c=30 d=0.82502 t=51595
hai mei da dian hua 	還沒打電話	c=1 d=6.4314e-14 t=51595
hai mei jie chu 	還沒接觸	c=1 d=2.09801e-41 t=51595
hai mei jie chu dao 	還沒接觸到	c=1 d=2.06678e-41 t=51595
hai mei shan 	還沒刪	c=1 d=2.66891e-49 t=51595
hai mei shuo 	還沒說	c=1 d=1 t=49363
hai mei you 	還沒有	c=5 d=3.64114e-06 t=51595
hai neng 	還能	c=3 d=2.23244e-07 t=51595
hai pa 	還怕	c=1 d=3.31493e-11 t=51595
hai qu 	還去	c=2 d=0.00173804 t=51595
hai sheng 	還剩	c=1 d=1.02801e-11 t=51595
hai sheng dian 	還剩點	c=1 d=4.02867e-11 t=51595
hai shi 	還是	c=67 d=1.1706 t=51595
hai shi bu xing 	還是不行	c=1 d=3.19982e-07 t=51595
hai shi ta 	還是他	c=1 d=0.0110536 t=51595
hai shi zai 	還是在	c=1 d=7.70502e-22 t=51595
hai shuo 	還說	c=2 d=0.516851 t=51595
hai tao 	海淘	c=2 d=4.2435e-37 t=51595
hai tian 	海天	c=1 d=1.76238e-49 t=51595
hai ting 	還挺	c=1 d=1 t=49031
hai wai 	海外	c=1 d=1.57291e-05 t=51595
hai wen 	還問	c=0 d=1.54602e-09 t=51595
hai wen le 	還問了	c=1 d=1.55376e-08 t=51595
hai xian 	海鮮	c=3 d=1.2638e-35 t=51595
hai xiang 	還想	c=3 d=0.000777055 t=51595
hai xiao 	還小	c=2 d=6.90512e-24 t=51595
hai xing 	還行	c=4 d=0.697676 t=51595
hai yao 	還要	c=16 d=0.0333301 t=51595
hai yao bu 	還要不	c=1 d=1.75276e-14 t=51595
hai yi wei 	還以爲	c=1 d=0.0480747 t=51595
hai you 	還有	c=34 d=0.664041 t=51595
hai you ge 	還有個	c=1 d=9.44681e-08 t=51595
hai you mei you 	還有沒有	c=1 d=1 t=47675
hai you ne 	還有呢	c=1 d=1.10611e-10 t=51595
hai zai 	還在	c=6 d=0.0359725 t=51595
hai zao 	還早	c=0 d=1.93177e-12 t=51595
hai zao zhe ne 	還早着呢	c=1 d=1.94145e-11 t=51595
hai zei wang 	海賊王	c=3 d=1.77187e-07 t=51595
hai zhen 	還真	c=1 d=1 t=48502
hai zhen shi 	還真是	c=3 d=0.000490542 t=51595
hai zhi dao 	還知道	c=1 d=0.00775048 t=51595
hai zi 	孩子	c=13 d=3.60779e-07 t=51595
han 	函	c=1 d=4.22213e-05 t=51595
han 	含	c=1 d=4.3417e-09 t=51595
han 	寒	c=1 d=0.172045 t=51595
han 	涵	c=1 d=2.23784e-06 t=51595
han 	漢	c=1 d=1 t=50543
han bao 	漢堡	c=1 d=1.73443e-08 t=51595
han hua 	漢化	c=2 d=1.25164e-23 t=51595
han le 	喊了	c=1 d=3.47648e-12 t=51595
han shu 	函數	c=60 d=1.37139 t=51595
han shu jie kou 	函數接口	c=1 d=4.64434e-37 t=51595
han shu shi 	函數式	c=12 d=0.00339653 t=51595
han shui 	含稅	c=4 d=2.22668e-06 t=51595
han you 	含有	c=3 d=0.711563 t=51595
han zi 	漢字	c=1 d=1.72549e-06 t=51595
hang 	航	c=1 d=5.87785e-14 t=51595
hang 	行	c=150 d=0.254129 t=51595
hang bian ji 	行編輯	c=16 d=7.28276e-06 t=51595
hang dian ji 	行點擊	c=9 d=4.60939e-07 t=51595
hang hao 	行號	c=8 d=3.80208e-06 t=51595
hang hao zhi shi qi 	行號指示器	c=1 d=6.98603e-46 t=51595
hang nei 	行內	c=1 d=3.42647e-18 t=51595
hang shan chu 	行刪除	c=2 d=1.56199e-14 t=51595
hang shu 	行數	c=2 d=1.34212e-06 t=51595
hang shu ju 	行數據	c=1 d=4.61489e-21 t=51595
hang tian jia 	行添加	c=3 d=4.10866e-07 t=51595
hang tu xiang 	行圖像	c=2 d=6.56435e-33 t=51595
hang xiang su 	行像素	c=1 d=0.215456 t=51595
hang xin xi 	行信息	c=1 d=5.13645e-16 t=51595
hang ye 	行業	c=7 d=2.09026e-06 t=51595
hang zeng jia 	行增加	c=1 d=2.30599e-06 t=51595
hang zhong 	行中	c=1 d=5.4926e-40 t=51595
hang zhou 	杭州	c=35 d=0.0452718 t=51595
hao 	好	c=230 d=2.34053 t=51595
hao 	號	c=88 d=0.754802 t=51595
hao 	豪	c=1 d=2.87344e-06 t=51595
hao ba 	好吧	c=46 d=1.00551 t=51595
hao bang 	好棒	c=1 d=3.81956e-31 t=51595
hao bu hao 	好不好	c=3 d=0.275276 t=51595
hao bu rong yi 	好不容易	c=1 d=1.19844e-12 t=51595
hao chi 	好吃	c=1 d=3.22298e-33 t=51595
hao chu fa 	好觸發	c=1 d=3.77835e-21 t=51595
hao da 	好噠	c=3 d=4.66545e-19 t=51595
hao da 	好大	c=1 d=5.08188e-08 t=51595
hao dai 	好歹	c=1 d=0.084163 t=51595
hao de 	好的	c=74 d=1.18883 t=51595
hao de shi hou 	好的時候	c=1 d=4.8155e-51 t=51595
hao di 	好滴	c=1 d=5.32864e-07 t=51595
hao dian 	好點	c=2 d=1.9802 t=51507
hao duo 	好多	c=4 d=2.37622e-06 t=51595
hao duo le 	好多了	c=1 d=2.57361e-33 t=51595
hao duo ren 	好多人	c=2 d=7.52398e-07 t=51595
hao duo zhong 	好多種	c=1 d=0.00318278 t=51595
hao e 	好餓	c=1 d=0.00225411 t=51595
hao fan 	好煩	c=0 d=1.80552e-11 t=51595
hao hao 	好好	c=9 d=1.43801 t=51595
hao hao gan 	好好幹	c=2 d=5.6328e-13 t=51595
hao hao wan 	好好玩	c=1 d=1.47794e-37 t=51595
hao hou 	好後	c=1 d=1.46569e-39 t=51595
hao hou ha ha ha ha ha ha ha 	好後哈哈哈哈哈哈哈	c=1 d=8.50639e-39 t=51595
hao ji ben 	好幾本	c=1 d=1 t=49412
hao ji ci 	好幾次	c=1 d=3.61517e-31 t=51595
hao ji tian 	好幾天	c=1 d=1.79249e-13 t=51595
hao jia 	好價	c=1 d=5.58738e-06 t=51595
hao jian 	好劍	c=1 d=1.50395e-07 t=51595
hao jie guo 	好結果	c=1 d=3.97072e-17 t=51595
hao jiu 	好久	c=2 d=1.29134e-08 t=51595
hao kan 	好看	c=2 d=0.000800719 t=51595
hao kuai 	好快	c=0 d=7.02227e-49 t=51595
hao le 	好了	c=13 d=0.0222746 t=51595
hao li hai 	好厲害	c=1 d=0.239309 t=51595
hao ma 	號碼	c=10 d=4.3955e-06 t=51595
hao man zu 	好滿足	c=1 d=3.53192e-51 t=51595
hao mang 	好忙	c=1 d=1.36083e-07 t=51595
hao miao 	毫秒	c=2 d=2.8025e-06 t=51595
hao pian yi 	好便宜	c=2 d=8.23115e-05 t=51595
hao piao liang 	好漂亮	c=1 d=2.83442e-51 t=51595
hao ping 	好評	c=1 d=4.46238e-08 t=51595
hao qi fu 	好欺負	c=1 d=0.018043 t=51595
hao qi guai 	好奇怪	c=2 d=2.58835e-12 t=51595
hao qi xin 	好奇心	c=1 d=2.24005e-47 t=51595
hao ren 	好人	c=1 d=4.68224e-15 t=51595
hao shi 	耗時	c=1 d=2.20033e-13 t=51595
hao ting 	好聽	c=0 d=0.1 t=51319
hao wan 	好玩	c=1 d=8.44527e-13 t=51595
hao xi huan 	好喜歡	c=1 d=1.41632e-36 t=51595
hao xian 	號線	c=2 d=0.00296761 t=51595
hao xiang 	好像	c=20 d=0.835422 t=51595
hao xiang 	好想	c=1 d=2.45485e-36 t=51595
hao xie 	好些	c=1 d=1.08702e-11 t=51595
hao ya 	好呀	c=1 d=7.21644e-16 t=51595
hao yan 	豪言	c=1 d=2.4911e-32 t=51595
hao yang 	好樣	c=1 d=2.61392e-10 t=51595
hao yi sheng 	好醫生	c=1 d=4.40718e-38 t=51595
hao yi si 	好意思	c=1 d=0.000270565 t=51595
hao yong 	好用	c=9 d=0.255386 t=51595
hao yong bu 	好用不	c=1 d=1 t=50209
hao yuan 	好遠	c=2 d=6.54445e-06 t=51595
hao zhao 	好找	c=1 d=1.51933e-09 t=51595
hao zhun 	好準	c=1 d=1.67102e-11 t=51595
hao zou 	好走	c=1 d=3.95777e-08 t=51595
he 	何	c=3 d=6.25322e-07 t=51595
he 	合	c=1 d=0.00831246 t=51595
he 	和	c=189 d=1.97543 t=51595
he 	喝	c=2 d=7.44785e-05 t=51595
he 	核	c=0 d=9.49097e-05 t=51595
he 	河	c=1 d=6.25534e-11 t=51595
he 	盒	c=7 d=0.00016837 t=51595
he 	赫	c=1 d=7.56298e-09 t=51595
he bing 	合併	c=101 d=0.457748 t=51595
he chu 	何處	c=2 d=1.25064e-05 t=51595
he dui 	覈對	c=0 d=0.000207043 t=51595
he dui ju zhen 	覈對矩陣	c=1 d=0.00208081 t=51595
he fa 	合法	c=1 d=5.61539e-06 t=51595
he fa xing 	合法性	c=2 d=1.91949e-06 t=51595
he ge 	合格	c=3 d=1.40641e-13 t=51595
he ge shu 	合格數	c=4 d=0.151043 t=51595
he gui 	合規	c=4 d=0.00470291 t=51595
he guo 	喝過	c=1 d=7.56041e-05 t=51595
he hai zi 	和孩子	c=1 d=1.0587e-24 t=51595
he he 	呵呵	c=3 d=0.69225 t=51595
he ji 	合計	c=11 d=1.88599e-05 t=51595
he kuang 	何況	c=1 d=2.96095e-06 t=51595
he li 	合理	c=1 d=3.39284e-49 t=51595
he liang shui 	喝涼水	c=1 d=4.39968e-18 t=51595
he ni 	和你	c=1 d=1 t=49971
he ni jie 	和你姐	c=1 d=0.283654 t=51595
he shang 	和尚	c=1 d=5.73663e-22 t=51595
he shi 	合適	c=3 d=1.53955e-07 t=51595
he shui 	喝水	c=1 d=1.31104e-39 t=51595
he suan 	合算	c=1 d=0.000617396 t=51595
he tong 	合同	c=14 d=0.400517 t=51595
he tong hao 	合同號	c=1 d=2.24906e-06 t=51595
he xin 	核心	c=2 d=1.06749e-33 t=51595
he yan 	覈驗	c=2 d=1.66857 t=51595
he yi 	合一	c=1 d=1.60163e-12 t=51595
he zhou 	喝粥	c=1 d=1 t=51525
he zuo 	合作	c=1 d=1.60911e-08 t=51595
hei 	嘿	c=1 d=2.4796e-07 t=51595
hei 	黑	c=5 d=0.238243 t=51595
hei bai 	黑白	c=1 d=4.72527e-05 t=51595
hei he 	黑河	c=1 d=4.98379e-14 t=51595
hei hei 	嘿嘿	c=0 d=2.45492e-08 t=51595
hei hei hei 	黑嘿嘿	c=1 d=2.46723e-07 t=51595
hei ka 	黑卡	c=1 d=6.47816e-11 t=51595
hei ke 	黑客	c=11 d=2.98e-10 t=51595
hei mei 	黑莓	c=6 d=9.28214e-07 t=51595
hei ming dan 	黑名單	c=2 d=1.0997e-10 t=51595
hei ping 	黑屏	c=7 d=0.0169075 t=51595
hei se 	黑色	c=4 d=0.0761538 t=51595
hei ti 	黑體	c=1 d=1.37944e-21 t=51595
hei wu 	黑屋	c=1 d=2.49882e-39 t=51595
hei yao shi 	黑曜石	c=1 d=0.0116203 t=51595
hen 	很	c=15 d=0.154896 t=51595
hen bang 	很棒	c=2 d=2.19353e-06 t=51595
hen bu 	很不	c=0 d=7.73574e-11 t=51595
hen bu cuo 	很不錯	c=5 d=1.0285e-07 t=51595
hen bu xi huan 	很不喜歡	c=1 d=7.77451e-10 t=51595
hen da 	很大	c=6 d=6.62577e-24 t=51595
hen di 	很低	c=1 d=2.70749e-12 t=51595
hen duo 	很多	c=13 d=0.0188734 t=51595
hen duo de 	很多的	c=1 d=1.30521e-16 t=51595
hen duo wen jian 	很多文件	c=1 d=7.75154e-34 t=51595
hen fan 	很煩	c=1 d=0.272532 t=51595
hen fang bian 	很方便	c=2 d=1.56966e-10 t=51595
hen gao 	很高	c=1 d=4.65809e-13 t=51595
hen hao 	很好	c=3 d=9.09846e-07 t=51595
hen hao kan 	很好看	c=1 d=9.60268e-24 t=51595
hen hua 	很話	c=2 d=8.26536e-46 t=51595
hen ji 	很急	c=1 d=6.02255e-06 t=51595
hen ji 	痕跡	c=2 d=5.4513e-48 t=51595
hen jian dan 	很簡單	c=9 d=0.536665 t=51595
hen jin 	很近	c=1 d=5.50419e-06 t=51595
hen ka 	很卡	c=1 d=5.57373e-36 t=51595
hen keng 	很坑	c=1 d=1.67102e-11 t=51595
hen kuai 	很快	c=0 d=3.0706e-23 t=51595
hen lei 	很累	c=1 d=1.12474e-30 t=51595
hen li hai 	很厲害	c=1 d=3.07048e-51 t=51595
hen man 	很慢	c=2 d=2.14454e-05 t=51595
hen mang 	很忙	c=3 d=4.2985e-09 t=51595
hen nan 	很難	c=1 d=3.83023e-05 t=51595
hen qing chu 	很清楚	c=1 d=2.07649e-08 t=51595
hen re 	很熱	c=1 d=1 t=48763
hen shi 	很是	c=1 d=1.68782e-11 t=51595
hen shu 	很熟	c=1 d=0.0300468 t=51595
hen xi huan 	很喜歡	c=1 d=1.89674e-31 t=51595
hen xiang 	很想	c=1 d=8.39885e-07 t=51595
hen xiao 	很小	c=2 d=0.25284 t=51595
hen you 	很有	c=2 d=9.51716e-07 t=51595
hen yuan 	很遠	c=2 d=0.0800583 t=51595
hen zheng chang 	很正常	c=1 d=3.1169e-51 t=51595
hen zhong 	很重	c=1 d=1 t=48561
hen zi run 	很滋潤	c=1 d=5.12493e-19 t=51595
heng 	哼	c=3 d=0.00172937 t=51595
heng 	恆	c=2 d=4.35604e-40 t=51595
heng 	橫	c=1 d=3.7641e-06 t=51595
heng kong 	橫空	c=1 d=3.36389e-07 t=51595
heng liang 	橫樑	c=1 d=3.56135e-31 t=51595
heng liang 	衡量	c=1 d=5.42391e-39 t=51595
heng you 	恆有	c=1 d=5.9194e-38 t=51595
hong 	哄	c=1 d=3.40174e-21 t=51595
hong 	宏	c=10 d=0.0245433 t=51595
hong 	紅	c=3 d=0.0776984 t=51595
hong bao 	紅包	c=6 d=0.0755206 t=51595
hong chong 	紅衝	c=1 d=0.481909 t=51595
hong deng 	紅燈	c=2 d=1.77451e-32 t=51595
hong dian 	紅點	c=2 d=2.09701e-06 t=51595
hong huang lan 	紅黃藍	c=1 d=0.486752 t=51595
hong kou 	虹口	c=2 d=9.9653e-07 t=51595
hong mei su 	紅黴素	c=1 d=2.61303e-06 t=51595
hong qiao 	虹橋	c=3 d=5.47674e-06 t=51595
hong qiao zhen 	虹橋鎮	c=1 d=7.91109e-09 t=51595
hong se 	紅色	c=3 d=2.32434e-12 t=51595
hong shao 	紅燒	c=2 d=0.537944 t=51595
hong shi 	紅石	c=1 d=2.38806e-35 t=51595
hong wai 	紅外	c=2 d=1.99005 t=47897
hong xing er ke 	鴻興爾克	c=1 d=4.64369e-06 t=51595
hong yi 	弘毅	c=2 d=1.84231e-13 t=51595
hong you 	哄誘	c=1 d=4.45767e-25 t=51595
hong zhu 	紅豬	c=2 d=1.53184e-39 t=51595
hou 	厚	c=2 d=0.00732658 t=51595
hou 	吼	c=4 d=1.28521e-06 t=51595
hou 	後	c=100 d=1.74968 t=51595
hou ban ye 	後半夜	c=1 d=0.000949097 t=51595
hou duan 	後端	c=8 d=1.40513 t=51595
hou dun 	後盾	c=1 d=9.30115e-31 t=51595
hou hou 	吼吼	c=1 d=6.44365e-07 t=51595
hou ji 	猴急	c=0 d=0.1 t=48656
hou ji hou ji 	猴急猴急	c=1 d=1 t=48657
hou lai 	後來	c=3 d=0.404932 t=51595
hou lian pi 	厚臉皮	c=1 d=2.29449e-06 t=51595
hou liang wei 	後兩位	c=2 d=0.19398 t=51595
hou long 	喉嚨	c=1 d=3.83088e-07 t=51595
hou men 	後門	c=2 d=0.0115415 t=51595
hou mian 	後面	c=5 d=0.000145549 t=51595
hou nian 	後年	c=1 d=4.56416e-38 t=51595
hou nian 	猴年	c=2 d=2.98661e-12 t=51595
hou po 	吼破	c=1 d=3.81178e-07 t=51595
hou tai 	後臺	c=14 d=0.0160655 t=51595
hou xu 	後續	c=1 d=0.00122773 t=51595
hou xuan 	候選	c=1 d=6.61407e-11 t=51595
hou xuan shu 	候選數	c=1 d=6.07047e-11 t=51595
hu 	戶	c=4 d=0.00546167 t=51595
hu 	糊	c=1 d=4.05576e-31 t=51595
hu 	胡	c=1 d=2.19353e-06 t=51595
hu 	虎	c=1 d=0.588605 t=51595
hu bu 	互補	c=1 d=6.62704e-43 t=51595
hu dai su 	胡怠速	c=1 d=8.72051e-08 t=51595
hu die 	蝴蝶	c=1 d=7.35846e-10 t=51595
hu dong 	互動	c=1 d=8.76424e-08 t=51595
hu fa 	護法	c=0 d=1.05705e-36 t=51595
hu huan 	互換	c=1 d=1.31743e-08 t=51595
hu kou 	戶口	c=3 d=0.0085294 t=51595
hu kou ben 	戶口本	c=1 d=4.70251e-07 t=51595
hu lian wang 	互聯網	c=23 d=0.537955 t=51595
hu lian wang yun ying 	互聯網運營	c=1 d=1.85117e-39 t=51595
hu lve 	忽略	c=19 d=0.509182 t=51595
hu si ni 	呼死你	c=1 d=1 t=51398
hu wan 	護腕	c=3 d=1.47312e-05 t=51595
hu xiang 	互相	c=3 d=1.89314e-38 t=51595
hu yan 	護眼	c=1 d=0.000262568 t=51595
hu you 	忽悠	c=1 d=1.40251e-09 t=51595
hu zhao 	護照	c=4 d=3.97425e-11 t=51595
hu zhe 	護着	c=1 d=2.07078e-05 t=51595
hua 	化	c=15 d=1.12588 t=51595
hua 	畫	c=4 d=8.66667e-05 t=51595
hua 	花	c=7 d=0.582748 t=51595
hua 	華	c=3 d=0.548812 t=51595
hua 	話	c=44 d=0.819894 t=51595
hua bei 	花唄	c=6 d=3.59848e-06 t=51595
hua chu 	畫出	c=1 d=3.38823e-33 t=51595
hua chu lai 	畫出來	c=1 d=4.03623e-33 t=51595
hua de 	花的	c=0 d=1.18442e-51 t=51595
hua de qian 	花的錢	c=1 d=1.19036e-50 t=51595
hua fen 	劃分	c=3 d=4.22066e-44 t=51595
hua feng 	畫風	c=1 d=1.02336e-07 t=51595
hua hen 	劃痕	c=1 d=5.46893e-48 t=51595
hua ji 	滑稽	c=1 d=8.1321e-39 t=51595
hua jia 	畫家	c=1 d=2.22161e-38 t=51595
hua jun 	華軍	c=1 d=2.26187e-14 t=51595
hua kai 	花開	c=1 d=6.77403e-07 t=51595
hua kuo hao 	花括號	c=1 d=2.42587e-14 t=51595
hua le 	花了	c=4 d=0.181479 t=51595
hua le duo shao 	花了多少	c=1 d=5.15851e-37 t=51595
hua mian 	畫面	c=133 d=2.68184e-05 t=51595
hua mian shang 	畫面上	c=1 d=6.28563e-09 t=51595
hua ren 	華人	c=1 d=8.52725e-09 t=51595
hua sheng ke 	花生殼	c=4 d=0.000324546 t=51595
hua shuo 	華碩	c=1 d=1.56506e-05 t=51595
hua shuo 	話說	c=1 d=5.42317e-08 t=51595
hua suan 	划算	c=3 d=2.09195e-07 t=51595
hua wei 	華爲	c=1 d=4.41782e-37 t=51595
hua wen hua 	花文化	c=1 d=1.39116e-31 t=51595
hua wu yuan 	話務員	c=2 d=0.000266716 t=51595
hua xian 	劃線	c=1 d=6.7904e-06 t=51595
hua xiang 	畫像	c=1 d=6.42899e-39 t=51595
hua yuan 	花園	c=1 d=6.74232e-40 t=51595
huai 	壞	c=2 d=0.0293049 t=51595
huai dao 	壞道	c=2 d=6.81756e-15 t=51595
huai hua 	壞話	c=1 d=2.60762e-11 t=51595
huai le 	壞了	c=4 d=1.06825e-12 t=51595
huan 	換	c=19 d=0.511709 t=51595
huan 	歡	c=1 d=6.28456e-07 t=51595
huan 	環	c=1 d=1.23475e-35 t=51595
huan 	還	c=13 d=1.50416e-06 t=51595
huan bi 	環比	c=3 d=2.45994e-05 t=51595
huan cheng 	換成	c=3 d=0.527292 t=51595
huan chong 	緩衝	c=1 d=3.02077e-06 t=51595
huan chuang 	換牀	c=1 d=0.0269169 t=51595
huan cun 	緩存	c=23 d=1.2104 t=51595
huan de 	換的	c=1 d=2.02241e-21 t=51595
huan deng pian 	幻燈片	c=1 d=1.53089e-10 t=51595
huan ge 	換個	c=4 d=0.151075 t=51595
huan gei 	還給	c=1 d=4.47317e-07 t=51595
huan gong zuo 	換工作	c=2 d=0.00143012 t=51595
huan hang 	換行	c=5 d=0.0745086 t=51595
huan huan 	換換	c=1 d=1 t=47966
huan jie 	緩解	c=1 d=2.63375e-40 t=51595
huan jing 	環境	c=49 d=0.253378 t=51595
huan kuan 	還款	c=2 d=2.00992e-08 t=51595
huan kuan ri 	還款日	c=1 d=2.02e-07 t=51595
huan le 	換了	c=2 d=0.00252883 t=51595
huan le 	還了	c=1 d=1 t=48316
huan man 	緩慢	c=4 d=1.7824e-39 t=51595
huan ni 	還你	c=1 d=0.00440507 t=51595
huan ping 	換屏	c=1 d=1.65811e-08 t=51595
huan shi jie 	換世界	c=1 d=3.38938e-37 t=51595
huan shi jie 	環世界	c=4 d=4.97082e-34 t=51595
huan wan le 	還完了	c=2 d=2.33519e-07 t=51595
huan xin 	換新	c=1 d=0.0352602 t=51595
huan xing 	喚醒	c=1 d=6.81009e-40 t=51595
huan ying 	歡迎	c=4 d=5.81936e-05 t=51595
huan ying ni 	歡迎你	c=1 d=2.79574e-07 t=51595
huan yong 	換用	c=2 d=8.31529e-07 t=51595
huan yuan 	還原	c=1 d=5.99455e-10 t=51595
huan zhai 	還債	c=1 d=1 t=48347
huan zheng 	換證	c=1 d=1.23431e-06 t=51595
huang 	慌	c=1 d=0.00887071 t=51595
huang 	晃	c=1 d=6.38062e-09 t=51595
huang 	黃	c=2 d=0.66365 t=51595
huang lao shi 	黃老師	c=4 d=2.57913e-08 t=51595
huang pu qu 	黃浦區	c=1 d=3.54551e-08 t=51595
huang shan 	黃山	c=1 d=1 t=48824
huang yong 	黃勇	c=4 d=2.59516e-32 t=51595
hui 	回	c=6 d=0.0558548 t=51595
hui 	惠	c=4 d=1.25054e-05 t=51595
hui 	會	c=54 d=0.680021 t=51595
hui 	灰	c=2 d=2.95431e-09 t=51595
hui 	繪	c=1 d=7.08461e-05 t=51595
hui ba 	會把	c=1 d=6.99839e-08 t=51595
hui bang ni 	會幫你	c=1 d=6.74483e-15 t=51595
hui bei 	會被	c=1 d=3.4059e-06 t=51595
hui bian 	彙編	c=5 d=7.83104e-07 t=51595
hui bo 	回撥	c=2 d=6.18e-21 t=51595
hui bu hui 	會不會	c=4 d=0.0113334 t=51595
hui bu zhi dao 	惠不知道	c=1 d=2.72329e-51 t=51595
hui che 	回車	c=3 d=1.44572e-13 t=51595
hui chu 	繪出	c=3 d=0.138761 t=51595
hui cong 	會從	c=1 d=4.96992e-40 t=51595
hui da 	回答	c=3 d=9.00398e-24 t=51595
hui dao 	回到	c=2 d=1.37096e-06 t=51595
hui diao 	回調	c=16 d=3.27482e-06 t=51595
hui diao han shu 	回調函數	c=3 d=2.79698e-14 t=51595
hui dui 	會對	c=1 d=5.09416e-07 t=51595
hui fu 	回覆	c=17 d=0.000311223 t=51595
hui fu 	恢復	c=41 d=0.895834 t=51595
hui fu zhuang tai 	回覆狀態	c=1 d=4.20179e-06 t=51595
hui gao su 	會告訴	c=1 d=2.95381e-07 t=51595
hui gu 	回顧	c=1 d=4.73897e-39 t=51595
hui gui 	回歸	c=13 d=0.900103 t=51595
hui gui shu 	回歸樹	c=3 d=0.00970611 t=51595
hui gun 	回滾	c=4 d=0.509156 t=51595
hui jia 	回家	c=6 d=0.826976 t=51595
hui kuai 	會快	c=1 d=2.00473e-06 t=51595
