# Rime user dictionary
#@/db_name	double_pinyin_flypy.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	5468
#@/user_id	macbook
a 	啊	c=53 d=5.16558 t=5468
fu bu 	夫不	c=0 d=3.7447e-05 t=5468
fu fei 	付費	c=1 d=0.00704808 t=5468
fu hao 	符號	c=2 d=0.00679447 t=5468
fu he 	符合	c=1 d=6.63876e-05 t=5468
fu jin 	附近	c=3 d=0.582168 t=5468
fu le 	服了	c=0 d=0.1 t=5257
fu le ni 	服了你	c=1 d=1 t=5258
fu mian mo 	敷面膜	c=1 d=0.0126512 t=5468
fu qi 	服氣	c=2 d=0.139606 t=5468
fu qian 	付錢	c=1 d=4.25428e-05 t=5468
fu wo cheng 	俯臥撐	c=1 d=0.090718 t=5468
fu wu 	服務	c=1 d=8.39886e-07 t=5468
fu wu qi 	服務器	c=2 d=0.872491 t=5468
fu za 	複雜	c=1 d=0.000949097 t=5468
fu zhi 	複製	c=1 d=0.00501661 t=5468
gai 	該	c=2 d=7.27123e-05 t=5468
gai bian 	改變	c=2 d=0.0114473 t=5468
gai diao 	改掉	c=1 d=1 t=5057
gai lv 	概率	c=9 d=0.00486581 t=5468
gai shan 	改善	c=1 d=8.54786e-08 t=5468
gai xing 	概型	c=1 d=0.000308127 t=5468
gan 	幹	c=1 d=0.0746459 t=5468
gan ga 	尷尬	c=1 d=0.225373 t=5468
gan jue 	感覺	c=2 d=0.000183322 t=5468
gan ma 	幹嘛	c=10 d=0.546749 t=5468
gan mao 	感冒	c=1 d=0.00782838 t=5468
gan shai me 	幹曬麼	c=1 d=0.25924 t=5468
gan shen me 	幹什麼	c=1 d=0.26054 t=5468
gan su 	甘肅	c=2 d=0.0591529 t=5468
gan xie 	感謝	c=1 d=7.15703e-07 t=5468
gang 	剛	c=1 d=0.00068906 t=5468
gang ba 	剛把	c=1 d=0.00726273 t=5468
gang bi 	鋼筆	c=4 d=0.0853699 t=5468
gang fa 	剛發	c=1 d=0.00680566 t=5468
gang gan 	槓桿	c=1 d=3.06642e-06 t=5468
gang gang 	剛剛	c=2 d=0.0229371 t=5468
gang hua 	鋼化	c=2 d=0.188659 t=5468
gang hua mo 	鋼化膜	c=1 d=0.090718 t=5468
gang kan 	剛看	c=0 d=0.0204948 t=5468
gang kan le 	剛看了	c=1 d=0.205975 t=5468
gang shou dao 	剛收到	c=1 d=0.00687406 t=5468
gao 	搞	c=3 d=0.133388 t=5468
gao 	高	c=4 d=0.00212929 t=5468
gao shen me 	搞什麼	c=0 d=0.000404611 t=5468
gao tie 	高鐵	c=1 d=1 t=5153
gao xiao 	搞笑	c=1 d=0.219808 t=5468
gao xiao 	高校	c=0 d=0.0216536 t=5468
gao yi tao 	搞一套	c=1 d=1 t=5117
gao zhi liang 	高質量	c=1 d=1.39528e-07 t=5468
ge 	個	c=9 d=0.330752 t=5468
ge 	格	c=1 d=6.8764e-07 t=5468
ge lou 	閣樓	c=2 d=1.96079 t=5361
ge pan 	格盤	c=1 d=0.000614317 t=5468
ge ren 	個人	c=1 d=4.60861e-05 t=5468
ge shi hua 	格式化	c=1 d=1.27519e-07 t=5468
ge xiao shi 	個小時	c=1 d=0.12307 t=5468
ge zhong 	各種	c=1 d=0.211189 t=5468
gei 	給	c=7 d=0.932382 t=5468
gei ni 	給你	c=5 d=0.402564 t=5468
gei ta 	給她	c=1 d=0.0234005 t=5468
gei wo 	給我	c=5 d=0.349181 t=5468
gen 	跟	c=4 d=0.170317 t=5468
gen jie jie 	跟姐姐	c=1 d=0.128735 t=5468
gen ju 	根據	c=3 d=0.0932423 t=5468
gen ni 	跟你	c=2 d=0.0205815 t=5468
gen ni zai yi qi 	跟你在一起	c=1 d=0.000153011 t=5468
gen shui 	跟誰	c=1 d=0.0330412 t=5468
gen ta 	跟她	c=1 d=0.0610205 t=5468
geng 	更	c=0 d=0.00572688 t=5468
geng duo 	更多	c=1 d=2.52926e-05 t=5468
geng gai 	更改	c=2 d=0.00114314 t=5468
geng pian yi 	更便宜	c=1 d=0.0575558 t=5468
geng xin 	更新	c=2 d=2.7402e-07 t=5468
gong 	供	c=1 d=1 t=5235
gong jiao 	公交	c=2 d=2.79741e-05 t=5468
gong jiao ka 	公交卡	c=1 d=3.73566e-05 t=5468
gong ju 	工具	c=3 d=0.0517162 t=5468
gong ju lan 	工具欄	c=1 d=0.00470091 t=5468
gong lv 	功率	c=1 d=1.78234e-05 t=5468
gong ren 	工人	c=1 d=0.275271 t=5468
gong shi 	公式	c=6 d=0.0725555 t=5468
gong si 	公司	c=7 d=0.793905 t=5468
gong tong 	共通	c=1 d=7.94939e-07 t=5468
gong zhong 	公衆	c=0 d=8.50233e-05 t=5468
gong zhong hao 	公衆號	c=1 d=0.000854495 t=5468
gong zi 	工資	c=2 d=0.158025 t=5468
gong zuo 	工作	c=4 d=0.35492 t=5468
gou 	勾	c=1 d=0.375311 t=5468
gou 	夠	c=1 d=0.00152616 t=5468
gou jian 	構建	c=1 d=1 t=4989
gu dian 	古典	c=1 d=0.00030659 t=5468
gu ding 	固定	c=1 d=9.3062e-08 t=5468
gu ji 	估計	c=5 d=0.00853649 t=5468
gu jian 	固件	c=1 d=1.66614e-06 t=5468
gu lang 	古浪	c=1 d=0.0569831 t=5468
gu zhen 	古鎮	c=1 d=5.14536e-07 t=5468
gua po 	刮破	c=1 d=0.0274607 t=5468
gua zai 	掛在	c=1 d=6.23707e-06 t=5468
guai 	乖	c=1 d=0.201897 t=5468
guan bi 	關閉	c=1 d=6.94551e-07 t=5468
guan diao 	關掉	c=1 d=1 t=5232
guan jia 	管家	c=1 d=2.77508e-08 t=5468
guan jian zi 	關鍵字	c=1 d=1.00051e-06 t=5468
guan le 	關了	c=1 d=2.12906e-08 t=5468
guan li qi 	管理器	c=2 d=1.75628 t=5468
guan tou 	罐頭	c=1 d=0.0800583 t=5468
guan wang 	官網	c=1 d=0.00499159 t=5468
guan yu 	關於	c=1 d=0.00701293 t=5468
guang 	光	c=1 d=1.20093e-07 t=5468
guang 	逛	c=1 d=1.60468e-05 t=5468
guang chang 	廣場	c=1 d=1 t=5220
guang fa 	廣發	c=2 d=3.04563e-06 t=5468
guang zhou 	廣州	c=1 d=3.01297e-05 t=5468
gui 	貴	c=3 d=0.111129 t=5468
gui ge 	規格	c=1 d=0.0211736 t=5468
gui gu 	硅谷	c=1 d=3.8408e-08 t=5468
gui hua 	規劃	c=1 d=1 t=5280
gui le 	貴了	c=1 d=1 t=4728
gui ze 	規則	c=1 d=5.88805e-05 t=5468
guo 	國	c=1 d=1.53433e-07 t=5468
guo 	過	c=2 d=0.670327 t=5468
guo 	郭	c=1 d=2.78852e-06 t=5468
guo cheng 	過程	c=1 d=1 t=4993
guo ding 	國定	c=1 d=5.97806e-07 t=5468
guo dong 	果凍	c=1 d=0.142274 t=5468
guo ji shang 	國際上	c=1 d=0.0185924 t=5468
guo jia 	國家	c=1 d=4.71468e-08 t=5468
guo le 	過了	c=1 d=0.00223168 t=5468
guo min 	過敏	c=1 d=0.201897 t=5468
guo ni he 	過擬合	c=2 d=0.00106629 t=5468
guo nian 	過年	c=2 d=0.37057 t=5468
guo qu 	過去	c=1 d=0.167797 t=5468
ha 	哈	c=3 d=0.57695 t=5468
ha ha 	哈哈	c=22 d=1.32667 t=5468
ha ha ha 	哈哈哈	c=3 d=0.891945 t=5468
hai 	海	c=1 d=0.00625109 t=5468
hai 	還	c=6 d=0.642345 t=5468
hai bu 	還不	c=0 d=2.41213e-07 t=5468
hai bu e 	還不餓	c=1 d=0.56836 t=5468
hai cheng 	海城	c=0 d=0.0923116 t=5468
hai dao 	海盜	c=1 d=3.03642e-08 t=5468
hai de 	還得	c=1 d=4.00653e-05 t=5468
hai hang 	海航	c=1 d=2.81654e-06 t=5468
hai hao 	還好	c=0 d=0.0256661 t=5468
hai hao hai hao 	還好還好	c=1 d=0.257947 t=5468
hai jia ban 	還加班	c=1 d=1 t=5304
hai mei 	還沒	c=9 d=1.73884 t=5468
hai neng 	還能	c=3 d=0.0395755 t=5468
hai pa 	害怕	c=1 d=0.0413782 t=5468
hai qu 	還去	c=1 d=0.00124951 t=5468
hai shang 	海上	c=1 d=0.00433948 t=5468
hai shi 	還是	c=1 d=0.00146656 t=5468
hai yao 	還要	c=1 d=0.0128424 t=5468
hai ye 	海野	c=1 d=1 t=5027
hai you 	還有	c=4 d=0.834107 t=5468
hai zai 	還在	c=0 d=0.1 t=5414
hai zao 	還早	c=1 d=0.0502945 t=5468
hai zao zhe ne 	還早着呢	c=1 d=0.0131019 t=5468
han shu 	函數	c=7 d=0.296844 t=5468
hang 	行	c=2 d=0.909373 t=5468
hang zhou 	杭州	c=9 d=0.468937 t=5468
hao 	好	c=32 d=5.14319 t=5468
hao 	號	c=10 d=0.684638 t=5468
hao ba 	好吧	c=9 d=0.380172 t=5468
hao bu 	好不	c=3 d=0.402815 t=5468
hao chi 	好吃	c=1 d=0.140858 t=5468
hao de 	好的	c=6 d=0.344728 t=5468
hao di 	好滴	c=1 d=0.0753961 t=5468
hao dian 	好點	c=0 d=0.00248475 t=5468
hao dian 	耗電	c=1 d=0.0925506 t=5468
hao dian de 	好點的	c=1 d=0.024972 t=5468
hao duo 	好多	c=1 d=0.430123 t=5468
hao hao 	好好	c=1 d=0.0742773 t=5468
hao hao chi 	好好吃	c=1 d=3.69849e-05 t=5468
hao he 	好喝	c=1 d=0.138761 t=5468
hao hua 	好花	c=1 d=1 t=5366
hao ji bei 	好幾倍	c=1 d=0.0430669 t=5468
hao jiu 	好久	c=1 d=1 t=4645
hao kan 	好看	c=1 d=0.0434998 t=5468
hao le 	好了	c=3 d=0.080969 t=5468
hao le ma 	好了嗎	c=0 d=0.00234005 t=5468
hao ma 	號碼	c=3 d=0.0430678 t=5468
hao ren 	好人	c=2 d=0.0701696 t=5468
hao xia 	好下	c=1 d=0.140858 t=5468
hao xian 	號線	c=1 d=2.06579e-06 t=5468
hao xiang 	好像	c=7 d=0.10954 t=5468
hao ya 	好呀	c=1 d=0.0350844 t=5468
hao yong 	好用	c=0 d=0.00100017 t=5468
he 	和	c=15 d=1.83427 t=5468
he 	河	c=1 d=0.0608101 t=5468
he 	盒	c=2 d=0.169027 t=5468
he dui 	覈對	c=1 d=1.58899e-07 t=5468
he ni 	和你	c=1 d=1 t=4586
he shi 	合適	c=3 d=0.660084 t=5468
he zhe 	喝着	c=1 d=0.137381 t=5468
hei jing 	黑鏡	c=9 d=1.27042e-05 t=5468
hei ke 	黑客	c=2 d=0.104944 t=5468
hei ti 	黑體	c=1 d=0.00467746 t=5468
hen 	很	c=3 d=0.00965857 t=5468
hen bang 	很棒	c=2 d=1.05347e-05 t=5468
hen bu 	很不	c=0 d=0.1 t=5050
hen bu cuo 	很不錯	c=1 d=0.0620385 t=5468
hen bu hao 	很不好	c=1 d=1 t=5051
hen duo 	很多	c=1 d=4.98585e-05 t=5468
hen duo zhong 	很多中	c=1 d=5.82947e-05 t=5468
hen gao 	很高	c=1 d=8.48182e-05 t=5468
hen kuai 	很快	c=1 d=0.00748391 t=5468
hen re 	很熱	c=1 d=2.86602e-05 t=5468
hen shang xin 	很傷心	c=1 d=1.25296e-06 t=5468
hen you yi si 	很有意思	c=1 d=0.244143 t=5468
hen zhong yao 	很重要	c=1 d=0.000655574 t=5468
heng 	哼	c=2 d=0.100904 t=5468
heng heng 	哼哼	c=1 d=0.00425356 t=5468
hong 	宏	c=3 d=0.000919288 t=5468
hong bao 	紅包	c=4 d=0.0719406 t=5468
hong bao qian 	紅包錢	c=1 d=0.408608 t=5468
hu lve 	忽略	c=1 d=0.285076 t=5468
hu pi 	虎皮	c=1 d=0.000214973 t=5468
hu yan 	護眼	c=2 d=0.000288205 t=5468
hu zhao 	護照	c=2 d=0.113691 t=5468
hua 	化	c=2 d=0.00814786 t=5468
hua 	滑	c=1 d=0.0213864 t=5468
hua 	華	c=1 d=6.14526e-08 t=5468
hua 	話	c=2 d=0.869358 t=5468
hua bei 	花唄	c=2 d=0.000952198 t=5468
hua fen 	劃分	c=1 d=6.99839e-08 t=5468
hua jia 	花甲	c=3 d=0.000701714 t=5468
hua qian 	花錢	c=1 d=0.127454 t=5468
hua sheng ke 	花生殼	c=1 d=1.07047e-07 t=5468
hua suan 	划算	c=1 d=1 t=5175
huai 	壞	c=2 d=0.113084 t=5468
huai le 	壞了	c=1 d=1.60081e-06 t=5468
huan 	換	c=1 d=3.88878e-07 t=5468
huan 	還	c=2 d=0.00287797 t=5468
huan bi 	換幣	c=1 d=3.94755e-07 t=5468
huan ge 	換個	c=1 d=0.0808629 t=5468
huan jia 	換家	c=1 d=0.440432 t=5468
huan jing 	環境	c=2 d=0.198891 t=5468
huan le 	換了	c=0 d=0.000125578 t=5468
huan le 	還了	c=1 d=0.000450569 t=5468
huan le ge 	換了個	c=1 d=0.00126207 t=5468
huang men ji 	黃燜雞	c=1 d=0.110803 t=5468
hui 	回	c=4 d=0.648596 t=5468
hui 	會	c=2 d=0.133408 t=5468
hui 	灰	c=2 d=1.80654 t=4557
hui dao jia 	回到家	c=1 d=1.88311e-05 t=5468
hui fu 	恢復	c=4 d=0.0110596 t=5468
hui gui 	回歸	c=3 d=0.108107 t=5468
hui gui shu 	回歸樹	c=1 d=1 t=5078
hui jia 	回家	c=2 d=0.0738277 t=5468
hui lai 	回來	c=23 d=1.99284 t=5468
hui mao 	灰貓	c=1 d=0.0221482 t=5468
hui meng meng 	灰濛濛	c=1 d=1 t=4516
hui qu 	回去	c=5 d=0.881453 t=5468
hui shou zhan 	回收站	c=1 d=0.0833256 t=5468
hui yuan 	會員	c=4 d=0.000706494 t=5468
huo 	或	c=3 d=0.14957 t=5468
huo bao 	活寶	c=1 d=0.1764 t=5468
huo bi 	火幣	c=1 d=4.04748e-07 t=5468
huo che 	火車	c=2 d=0.0107725 t=5468
huo jin 	霍金	c=2 d=1.24067 t=5468
huo qi 	火氣	c=1 d=1 t=5329
huo qu 	獲取	c=2 d=1.9802 t=4877
ji 	即	c=1 d=0.00179994 t=5468
ji 	基	c=0 d=0.1 t=4965
ji 	寄	c=1 d=3.55408e-07 t=5468
ji 	幾	c=1 d=0.00154923 t=5468
ji 	擠	c=1 d=1.91652e-06 t=5468
ji 	極	c=1 d=0.000284437 t=5468
ji 	機	c=1 d=1 t=4614
ji 	集	c=3 d=0.00265122 t=5468
ji 	雞	c=1 d=0.100259 t=5468
ji bei 	幾倍	c=0 d=0.00428521 t=5468
ji ben 	基本	c=1 d=0.183599 t=5468
ji cheng 	集成	c=1 d=1 t=5420
ji chi bang 	雞翅膀	c=1 d=0.860708 t=5468
ji chu 	基礎	c=2 d=0.145876 t=5468
ji da 	極大	c=5 d=0.00990058 t=5468
ji dan 	雞蛋	c=2 d=0.0754566 t=5468
ji de 	擠得	c=1 d=1.94548e-06 t=5468
ji de 	記得	c=1 d=9.87998e-06 t=5468
ji dian 	幾點	c=1 d=0.254107 t=5468
ji fa 	技法	c=3 d=0.806541 t=5468
ji fen zhong 	幾分鐘	c=1 d=1 t=4551
ji ge 	幾個	c=2 d=0.0397054 t=5468
ji gong bao 	雞公煲	c=1 d=3.68005e-05 t=5468
ji hao 	幾號	c=0 d=1.82305e-07 t=5468
ji hao xian 	幾號線	c=1 d=1.83219e-06 t=5468
ji he 	集合	c=1 d=0.0026189 t=5468
ji hu 	幾乎	c=1 d=0.00122477 t=5468
ji huo 	激活	c=3 d=0.000407942 t=5468
ji huo han shu 	激活函數	c=1 d=4.16069e-08 t=5468
ji huo ma 	激活碼	c=1 d=0.00491728 t=5468
ji kuai 	幾塊	c=1 d=0.0387742 t=5468
ji liu 	雞柳	c=3 d=1.62753 t=5468
ji mi hua 	雞米花	c=1 d=0.873716 t=5468
ji ni zhi shu 	基尼指數	c=4 d=3.53203 t=5005
ji pai 	雞排	c=1 d=0.384812 t=5468
ji qi 	機器	c=33 d=1.71067 t=5468
ji qi xue xi 	機器學習	c=6 d=0.802527 t=5468
ji ran 	既然	c=1 d=7.01412e-05 t=5468
ji shi 	基石	c=7 d=0.000179467 t=5468
ji shu 	技術	c=6 d=0.508228 t=5468
ji suan 	計算	c=9 d=4.00565 t=5468
ji wan 	幾萬	c=1 d=1 t=5134
ji xian 	幾線	c=1 d=1 t=5295
ji xian 	極限	c=2 d=0.000677046 t=5468
ji xiong rou 	雞胸肉	c=1 d=0.852144 t=5468
ji yue 	幾月	c=1 d=3.28083e-07 t=5468
ji zhua 	雞爪	c=2 d=0.000261677 t=5468
ji zhua zi 	雞爪子	c=1 d=0.000253537 t=5468
jia 	加	c=2 d=0.284312 t=5468
jia 	夾	c=2 d=0.687289 t=5468
jia ban 	加班	c=8 d=0.429557 t=5468
jia bi 	夾逼	c=1 d=0.000293099 t=5468
jia cu 	加粗	c=1 d=1 t=4927
jia ge 	價格	c=1 d=1.05181e-06 t=5468
jia jin 	加緊	c=0 d=0.0980199 t=5468
jia kuai 	加快	c=2 d=0.00208216 t=5468
jia li 	佳麗	c=1 d=1.24349e-05 t=5468
jia quan 	加權	c=2 d=0.000349178 t=5468
jia she 	假設	c=3 d=0.00979919 t=5468
jia ting 	家庭	c=1 d=1 t=4510
jian 	健	c=1 d=0.00540733 t=5468
jian 	尖	c=1 d=1.70391e-05 t=5468
jian 	簡	c=6 d=0.000881179 t=5468
jian 	鍵	c=6 d=2.0755 t=5468
jian 	間	c=3 d=0.46545 t=5468
jian ce 	檢測	c=1 d=0.0523397 t=5468
jian cha 	檢查	c=2 d=0.051561 t=5468
jian dan 	簡單	c=1 d=0.000921047 t=5468
jian qie 	剪切	c=1 d=1.09418 t=4889
jian qie ban 	剪切板	c=2 d=1.89137 t=4901
jian shen 	健身	c=4 d=0.266413 t=5468
jian wei 	鍵位	c=1 d=0.0409665 t=5468
jian yu 	監獄	c=2 d=0.273898 t=5468
jian zao 	建造	c=1 d=0.0275271 t=5468
jian zhu 	建築	c=1 d=2.87344e-06 t=5468
jiang 	將	c=1 d=4.18154e-08 t=5468
jiang 	講	c=1 d=1 t=5398
jiang hui 	將會	c=1 d=1.33711e-06 t=5468
jiang ji 	降級	c=1 d=1.65783e-06 t=5468
jiao 	交	c=2 d=0.00432828 t=5468
jiao 	覺	c=0 d=0.0778801 t=5468
jiao cha 	交叉	c=1 d=0.000992781 t=5468
jiao cheng 	教程	c=2 d=1.53261e-06 t=5468
jiao huan 	交換	c=1 d=0.304221 t=5468
jiao jiao 	教教	c=0 d=0.0774916 t=5468
jiao yi suo 	交易所	c=1 d=3.79277e-07 t=5468
jiao zhuo 	焦灼	c=1 d=0.079659 t=5468
jie 	姐	c=3 d=0.00423855 t=5468
jie 	接	c=2 d=0.00822983 t=5468
jie 	藉	c=2 d=1.83527 t=5169
jie bai 	結拜	c=1 d=0.196912 t=5468
jie bei 	藉唄	c=2 d=0.000945048 t=5468
jie gou 	結構	c=2 d=0.207158 t=5468
jie guo 	結果	c=1 d=3.78297e-06 t=5468
jie hun 	結婚	c=1 d=0.0443785 t=5468
jie jie 	姐姐	c=1 d=0.162906 t=5468
jie jue 	解決	c=2 d=0.0704426 t=5468
jie kou 	接口	c=1 d=0.307279 t=5468
jie ma 	接碼	c=1 d=1.84168e-08 t=5468
jie shi 	解釋	c=1 d=5.42317e-08 t=5468
jie shu 	結束	c=1 d=1 t=4680
jie suo 	解鎖	c=2 d=0.0513033 t=5468
jie tu 	截圖	c=1 d=1 t=5315
jie xi 	解析	c=2 d=6.97048e-06 t=5468
jin 	近	c=1 d=1 t=5327
jin 	進	c=2 d=0.000575696 t=5468
jin guo 	金國	c=5 d=0.00930706 t=5468
jin jie 	進階	c=1 d=8.76276e-06 t=5468
jin kuai 	儘快	c=1 d=4.94361e-07 t=5468
jin shen 	緊身	c=1 d=5.43628e-07 t=5468
jin shui 	進水	c=1 d=2.37662e-08 t=5468
jin tian 	今天	c=6 d=1.53711 t=5468
jin xing 	進行	c=6 d=0.600949 t=5468
jin yong 	禁用	c=1 d=1.66212e-07 t=5468
jing chang 	經常	c=1 d=4.07761e-06 t=5468
jing dong 	京東	c=1 d=0.0724398 t=5468
jing ran 	竟然	c=1 d=0.239309 t=5468
jing tai 	靜態	c=1 d=9.98097e-08 t=5468
jing xiang 	鏡像	c=1 d=0.0269169 t=5468
jiu 	久	c=2 d=0.402524 t=5468
jiu 	就	c=26 d=1.09864 t=5468
jiu bu yao 	就不要	c=1 d=0.00047367 t=5468
jiu bu zhi dao 	就不知道	c=1 d=0.000602152 t=5468
jiu dao le 	就到了	c=1 d=0.00752142 t=5468
jiu dian 	九點	c=2 d=0.00901207 t=5468
jiu dian duo 	九點多	c=1 d=6.45923e-06 t=5468
jiu gou le 	就夠了	c=1 d=8.50378e-06 t=5468
jiu hao 	就好	c=1 d=0.771052 t=5468
jiu jin shan 	舊金山	c=1 d=1.63738e-07 t=5468
jiu mai 	就買	c=1 d=0.644036 t=5468
jiu qu 	就去	c=1 d=0.000623601 t=5468
jiu shi 	就是	c=16 d=1.38497 t=5468
jiu suan 	就算	c=1 d=0.0645703 t=5468
jiu zai 	就在	c=1 d=2.32315e-05 t=5468
jiu zhe xie 	就這些	c=1 d=0.00670434 t=5468
jiu zhi dao 	就知道	c=1 d=1.04386e-05 t=5468
jiu zhou 	九州	c=1 d=0.00431784 t=5468
ju 	矩	c=1 d=0.000372602 t=5468
ju 	菊	c=1 d=0.0485578 t=5468
ju bu 	局部	c=1 d=2.54895e-08 t=5468
ju qing 	劇情	c=1 d=0.22313 t=5468
ju tui 	舉腿	c=1 d=0.0911727 t=5468
ju zhen 	矩陣	c=3 d=0.000370851 t=5468
juan ji 	卷積	c=1 d=1 t=4663
jue 	覺	c=1 d=5.53273e-08 t=5468
jue ce 	決策	c=4 d=3.93136 t=4696
jue ce shu 	決策樹	c=4 d=2.88019 t=4991
jue di 	絕地	c=1 d=0.173774 t=5468
jue ding 	決定	c=1 d=0.028297 t=5468
jue xin 	決心	c=1 d=0.141564 t=5468
jun yun 	均勻	c=1 d=0.00031751 t=5468
ka 	卡	c=6 d=2.0284e-05 t=5468
ka zhu 	卡住	c=1 d=0.0837432 t=5468
kai 	開	c=1 d=0.0424257 t=5468
kai che 	開車	c=1 d=0.164474 t=5468
kai fa 	開發	c=3 d=0.0234005 t=5468
kai fa ji he 	開發集合	c=1 d=7.03347e-08 t=5468
kai le 	開了	c=1 d=0.522046 t=5468
kai qi 	開啓	c=1 d=1.22519e-07 t=5468
kai shi 	開始	c=3 d=0.00602141 t=5468
kai xin 	開心	c=0 d=0.014808 t=5468
kan 	看	c=9 d=1.67191 t=5468
kan bu qing 	看不清	c=1 d=1 t=5072
kan dao 	看到	c=3 d=0.694197 t=5468
kan kan 	看看	c=7 d=0.531938 t=5468
kan ni de 	看你的	c=1 d=0.414783 t=5468
kan wan le 	看完了	c=1 d=0.240508 t=5468
kan xia 	看下	c=2 d=0.61565 t=5468
kan yi xia 	看一下	c=1 d=1.01809e-05 t=5468
kao 	靠	c=1 d=0.13068 t=5468
kao chi 	烤翅	c=1 d=0.88692 t=5468
kao lv 	考慮	c=1 d=0.055299 t=5468
kao xiang 	烤箱	c=1 d=0.386741 t=5468
ke 	可	c=3 d=0.161218 t=5468
ke 	課	c=1 d=1.49645e-07 t=5468
ke 	顆	c=0 d=0.00713613 t=5468
ke ai 	可愛	c=3 d=0.406866 t=5468
ke bi mian 	可避免	c=2 d=1.54306e-07 t=5468
ke da 	可達	c=1 d=0.249075 t=5468
ke fu 	客服	c=1 d=0.000633025 t=5468
ke fu 	科夫	c=0 d=0.0158817 t=5468
ke ji 	科技	c=1 d=0.384812 t=5468
ke jian 	課件	c=1 d=4.64449e-08 t=5468
ke neng 	可能	c=9 d=0.777563 t=5468
ke neng xing 	可能性	c=1 d=5.27472e-05 t=5468
ke peng 	磕碰	c=1 d=0.00121259 t=5468
ke shi hua 	可視化	c=2 d=0.236928 t=5468
ke sou 	咳嗽	c=1 d=1.58488e-06 t=5468
ke xue 	科學	c=1 d=4.9804e-06 t=5468
ke yi 	可以	c=9 d=0.195973 t=5468
ke yi kan kan 	可以看看	c=1 d=0.263158 t=5468
ke yi shi yong 	可以使用	c=1 d=0.0608101 t=5468
ken de 	肯得	c=1 d=2.1287e-06 t=5468
ken ding 	肯定	c=9 d=0.0790104 t=5468
kong ge 	空格	c=1 d=0.00472447 t=5468
kong jian 	控件	c=1 d=5.04262e-05 t=5468
kong jie 	空姐	c=4 d=2.55619e-06 t=5468
kong qi 	空氣	c=0 d=2.54193e-06 t=5468
kong tiao 	空調	c=3 d=0.00804131 t=5468
kong zhe 	空着	c=1 d=1 t=5251
kong zhi 	控制	c=1 d=0.00511796 t=5468
kou hong 	口紅	c=1 d=7.06753e-06 t=5468
ku 	庫	c=0 d=3.65348e-09 t=5468
ku shi chang 	庫市場	c=1 d=3.6718e-08 t=5468
kuai 	快	c=2 d=0.0240586 t=5468
kuai dao 	快到	c=1 d=0.0102549 t=5468
kuai di 	快遞	c=1 d=0.0934807 t=5468
kuai le 	快樂	c=1 d=0.0997588 t=5468
kuai qian 	塊錢	c=3 d=0.18997 t=5468
kuan 	款	c=2 d=1.97531 t=4782
kuang jia 	框架	c=2 d=7.30095e-08 t=5468
kun 	困	c=1 d=0.00559994 t=5468
kun ming 	昆明	c=3 d=0.77156 t=5468
kuo zhan 	擴展	c=1 d=1.1086e-07 t=5468
la 	啦	c=1 d=0.442639 t=5468
la ge lang ri 	拉格朗日	c=1 d=0.444858 t=5468
la ji tong 	垃圾桶	c=1 d=0.082085 t=5468
la ji you jian 	垃圾郵件	c=1 d=0.0262523 t=5468
la pu la si 	拉普拉斯	c=1 d=0.0300468 t=5468
la ta 	邋遢	c=1 d=0.339596 t=5468
lai 	來	c=3 d=0.0231702 t=5468
lai 	萊	c=1 d=0.00170362 t=5468
lai hui 	來回	c=1 d=0.161218 t=5468
lan 	藍	c=0 d=0.1 t=4516
lan ren 	懶人	c=2 d=1.78811e-06 t=5468
lan se 	藍色	c=1 d=0.00117675 t=5468
lan zhou 	蘭州	c=1 d=0.00835412 t=5468
lan zi se 	藍紫色	c=1 d=1 t=4517
lao 	老	c=2 d=0.37623 t=5468
lao ban 	老闆	c=8 d=0.370469 t=5468
lao jia 	老家	c=1 d=0.169483 t=5468
le 	了	c=102 d=7.23028 t=5468
le 	嘞	c=1 d=0.149569 t=5468
le qu 	樂趣	c=2 d=0.00113955 t=5468
lei 	類	c=2 d=0.0642638 t=5468
leng 	冷	c=1 d=2.90934e-05 t=5468
li 	利	c=0 d=3.83949e-05 t=5468
li 	李	c=23 d=5.78751 t=5468
li 	理	c=1 d=0.000297529 t=5468
li 	立	c=1 d=0.0884781 t=5468
li 	裏	c=5 d=1.35479 t=5468
li 	離	c=1 d=1 t=5151
li cai 	理財	c=3 d=0.000850514 t=5468
li de 	離得	c=1 d=1 t=4825
li hai 	厲害	c=6 d=0.539315 t=5468
li jie 	理解	c=3 d=2.15852e-07 t=5468
li mian 	裏面	c=5 d=1.28835 t=5468
li ru 	例如	c=2 d=0.00325881 t=5468
li shi 	歷史	c=2 d=0.111452 t=5468
li yong 	利用	c=2 d=1.99501 t=4486
li zhi 	理智	c=1 d=0.0162445 t=5468
li zhi 	離職	c=1 d=0.0165727 t=5468
li zi 	例子	c=2 d=0.000116125 t=5468
lia 	倆	c=3 d=0.914278 t=5468
lian 	鏈	c=0 d=4.48398e-07 t=5468
lian cheng 	連乘	c=1 d=0.00343067 t=5468
lian hong 	臉紅	c=1 d=0.084163 t=5468
lian jie 	連接	c=1 d=0.0278757 t=5468
lian tong 	聯通	c=1 d=1 t=4587
lian xi 	練習	c=5 d=0.14669 t=5468
lian xiang 	聯想	c=1 d=1 t=4753
lian xu 	連續	c=1 d=0.00323088 t=5468
